name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Takenori Sato,,Southpaw,371,13.64,58.67,0.36,0.0,16.61,0.04,0.0,0.11,19,11,7,19,11,7,2,0,Unranked,Unranked,['welterweight'],welterweight,1985/06/08,4.77,0.17,33.0,0.0,11.53,0.0,0.0,2.37,0.0,0.02,0.0,0.0,,0.0,100.0,0.0
CJ Fernandes,,Unknown,372,13.35,43.73,2.88,0.0,26.93,0.0,0.0,86.71,14,8,3,14,8,3,1,0,Unranked,Unranked,['welterweight'],welterweight,1977/11/13,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.6,0.0,6.32,0.0,0.0,,0.0,100.0,11.11
Andre Pederneiras,,Orthodox,373,13.25,43.57,0.1,0.0,22.07,6.44,0.0,0.27,1,1,2,1,1,2,1,0,Unranked,Unranked,['welterweight'],welterweight,1967/03/22,0.0,1.03,0.0,0.0,0.0,100.0,0.0,0.6,0.0,0.05,0.0,0.0,,0.0,100.0,0.0
Adrian Serrano,,Unknown,374,12.96,43.59,1.19,0.0,26.93,0.0,0.0,31.86,56,29,4,56,29,4,1,0,Unranked,Unranked,['welterweight'],welterweight,1963/12/23,0.0,1.26,0.0,0.0,0.0,100.0,0.0,1.19,0.0,2.31,0.0,0.0,,0.0,100.0,11.11
Dorian Price,,Southpaw,375,11.8,43.49,0.0,0.0,22.07,0.0,0.0,0.0,8,5,0,8,5,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1977/08/20,0.0,0.12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82.66,0.0
Marcelo Aguiar,,Orthodox,375,11.8,43.49,0.0,0.0,22.07,0.0,0.0,0.0,2,3,1,2,3,1,1,0,Unranked,Unranked,['welterweight'],welterweight,,0.0,0.12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Jon Manley,,Orthodox,377,9.8,0.0,10.11,58.28,0.0,0.0,0.0,37.14,9,4,0,9,4,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1986/07/07,11.72,0.0,,0.0,,65.24,12.15,7.69,7.01,4.06,20.01,0.0,0.0,0.0,100.0,11.11
CM Punk,,Orthodox,378,9.4,0.0,9.67,55.84,0.0,0.04,0.0,9.77,0,1,0,0,1,0,2,0,Unranked,Unranked,['welterweight'],welterweight,1978/10/26,11.41,0.0,,0.0,,60.9,10.58,5.33,11.0,2.14,0.0,0.0,0.0,0.0,82.66,16.67
Chris Spang,The Kiss,Orthodox,379,8.02,0.0,0.0,61.72,0.0,0.0,0.0,0.0,6,3,0,6,3,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1987/11/26,18.97,0.0,,0.0,,84.35,0.0,0.0,0.0,0.0,50.0,0.0,19.1,0.0,100.0,11.11
Chuck O'Neil,Cold Steel,Unknown,380,7.74,0.0,0.75,58.28,0.0,0.0,0.0,11.81,17,9,0,17,9,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1985/09/22,32.44,0.0,,0.0,,64.67,0.0,1.19,0.0,1.29,0.0,0.0,0.0,0.0,100.0,11.11
Albert Cheng,,Orthodox,381,7.61,0.0,0.13,58.28,0.0,0.0,0.0,0.68,7,4,0,7,4,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1985/02/07,10.37,0.0,,0.0,,79.13,0.0,0.6,0.0,0.07,0.0,0.0,0.0,0.0,100.0,0.0
Charlie Ward,,Orthodox,381,7.61,0.0,0.13,58.28,0.0,0.04,0.0,0.45,3,3,0,3,3,0,2,0,Unranked,Unranked,['welterweight'],welterweight,1980/12/17,17.0,0.0,,0.0,,42.12,0.0,0.6,0.0,0.11,0.0,0.0,0.0,0.0,100.0,0.0
Ryan McGillivray,The Kid,Unknown,383,7.59,0.0,0.08,58.28,0.0,0.0,0.0,0.0,12,0,1,12,0,1,1,0,Unranked,Unranked,['welterweight'],welterweight,1986/09/27,13.16,0.0,,0.0,,82.34,0.0,0.6,0.0,0.0,43.99,0.0,0.0,0.0,100.0,11.11
Dean Barry,The Sniper,Orthodox,383,7.59,0.0,0.08,58.28,0.0,0.0,0.0,1.7,4,2,0,4,2,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1992/07/03,96.48,0.0,,7.69,,62.59,0.0,0.0,0.0,0.19,100.0,0.0,0.0,0.0,100.0,100.0
Vernon Ramos Ho,,Orthodox,385,7.58,0.0,0.0,58.28,0.0,0.0,0.0,0.0,3,1,0,3,1,0,1,0,Unranked,Unranked,['welterweight'],welterweight,1992/06/03,41.45,0.0,,0.0,,35.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
