name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Vanessa Melo,,Orthodox,55,32.3,62.28,0.67,60.59,59.87,3.02,23.26,0.0,11,8,0,11,8,0,4,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1988/03/27,39.01,39.77,25.59,0.0,68.9,31.18,0.0,4.01,0.0,0.28,71.01,0.0,0.0,0.0,100.0,33.33
Cindy Dandois,Battlecat,Orthodox,56,32.06,60.66,60.11,0.0,43.97,0.0,0.0,100.0,8,3,0,8,3,0,1,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1984/10/26,33.79,10.47,30.24,0.0,66.67,68.53,77.64,12.02,55.0,9.15,0.0,0.0,,0.0,100.0,11.11
Rosi Sexton,The Surgeon,Orthodox,57,31.19,64.85,14.18,60.59,41.98,4.38,0.0,49.07,13,5,0,13,5,0,2,0,Unranked,10.0,"[""women's bantamweight""]",women's bantamweight,1977/07/16,36.47,4.36,46.52,0.0,28.9,13.55,11.66,13.35,10.0,9.12,80.0,0.0,0.0,0.0,100.0,11.11
Ravena Oliveira,Kenoudy,Orthodox,58,30.67,64.07,47.56,0.0,48.18,0.0,0.0,80.6,7,2,1,7,2,1,1,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1997/02/20,1.95,2.21,67.45,0.0,44.44,98.63,31.05,4.01,66.0,7.35,62.0,0.0,,0.0,100.0,11.11
Anna Elmose,Panda,Orthodox,59,29.35,75.03,2.84,60.59,40.72,0.04,0.0,30.06,3,2,0,3,2,0,2,0,Unranked,Unranked,"[""women's strawweight"", ""women's bantamweight""]",women's bantamweight,1984/10/06,42.0,0.71,69.78,15.12,62.23,51.56,0.0,6.68,0.0,5.57,33.01,0.0,0.0,0.0,100.0,0.0
Klaudia Sygula,,Orthodox,60,28.83,78.89,16.44,0.0,48.52,2.94,23.26,23.8,7,2,0,7,2,0,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1998/12/30,66.21,15.28,79.07,0.0,64.44,50.34,10.89,6.68,19.99,4.42,33.01,0.0,,0.0,100.0,16.67
Kelly Faszholz,,Orthodox,61,28.58,72.33,1.31,60.59,41.02,0.04,0.0,11.93,4,2,0,4,2,0,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1985/04/09,46.93,10.41,67.45,0.0,53.35,65.67,0.0,4.01,0.0,2.2,44.0,0.0,0.0,0.0,100.0,0.0
Milana Dudieva,,Orthodox,62,27.92,54.01,40.46,0.0,38.98,2.98,23.26,27.93,11,6,0,11,6,0,3,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1989/08/04,0.0,6.31,27.91,0.0,66.67,68.12,36.33,14.67,45.0,7.94,0.0,0.0,,0.0,100.0,0.0
Shanna Young,The Shanimal,Orthodox,63,27.82,70.36,0.92,0.0,43.22,3.02,93.02,4.91,9,6,0,9,6,0,4,0,Unranked,Unranked,"[""women's flyweight"", ""women's bantamweight""]",women's bantamweight,1991/02/20,34.52,21.88,65.12,0.0,33.35,48.29,0.0,1.35,0.0,2.11,53.01,0.0,,0.0,100.0,13.89
Rin Nakai,,Orthodox,64,27.71,57.21,36.06,0.0,52.63,0.04,0.0,70.9,19,2,1,19,2,1,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1986/10/22,10.46,9.96,32.57,0.0,71.12,61.69,46.58,42.67,18.0,13.18,75.01,0.0,,0.0,100.0,11.11
Sarah Alpar,Too Sweet,Southpaw,65,22.98,65.73,25.87,0.0,30.26,0.04,0.0,24.95,9,6,0,9,6,0,2,0,Unranked,Unranked,"[""women's flyweight"", ""women's bantamweight""]",women's bantamweight,1991/06/01,22.28,10.25,58.14,0.0,22.23,32.15,25.01,16.0,26.0,4.62,20.0,0.0,,0.0,100.0,0.0
Larissa Pacheco,,Orthodox,66,22.76,47.48,0.25,57.54,37.08,0.04,0.0,0.83,10,2,0,10,2,0,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1994/09/07,5.09,0.93,0.0,0.0,60.0,58.42,0.0,1.35,0.0,0.14,0.0,0.0,0.0,0.0,75.0,0.0
Shayna Baszler,The Queen of Spades,Orthodox,67,20.48,57.34,14.78,0.0,38.32,0.04,0.0,13.21,15,11,0,15,11,0,2,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1980/08/08,24.21,2.72,25.59,0.0,51.12,28.05,10.41,8.01,18.0,2.45,44.0,0.0,,0.0,100.0,0.0
Jessamyn Duke,The Gun,Orthodox,68,18.48,0.0,29.63,74.41,0.0,3.02,23.26,17.49,3,5,0,3,5,0,4,0,Unranked,14.0,"[""women's bantamweight""]",women's bantamweight,1986/06/24,59.19,0.0,,0.0,,54.44,19.74,14.67,35.99,6.78,50.01,59.99,46.53,0.0,100.0,13.89
Sheila Gaff,The German Tank,Orthodox,69,18.1,66.73,0.0,0.0,28.48,4.38,0.0,0.06,9,7,0,9,7,0,2,0,Unranked,9.0,"[""women's bantamweight""]",women's bantamweight,1989/12/29,10.92,1.42,72.09,0.0,0.0,75.51,0.0,0.0,0.0,0.0,20.0,0.0,,0.0,100.0,0.0
Peggy Morgan,The Daywalker,Unknown,70,16.39,53.16,2.74,0.0,34.56,0.0,0.0,88.26,4,4,0,4,4,0,1,0,Unranked,Unranked,"[""women's bantamweight""]",women's bantamweight,1979/12/16,20.92,10.54,9.31,0.0,11.12,2.88,0.0,0.0,0.0,8.05,50.01,0.0,,0.0,100.0,11.11
Julie Kedzie,,Orthodox,71,13.66,0.0,21.89,60.59,0.0,4.38,0.0,36.06,16,13,0,16,13,0,2,0,Unranked,7.0,"[""women's bantamweight""]",women's bantamweight,1981/03/18,30.35,0.0,,0.0,,71.56,17.7,12.02,22.99,6.7,78.0,0.0,0.0,0.0,100.0,11.11
