name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Geane Herrera,La Pulga,Orthodox,96,32.03,54.75,22.58,0.0,55.61,3.1,93.02,5.2,9,3,0,9,3,0,4,0,Unranked,Unranked,['flyweight'],flyweight,1990/05/27,8.8,20.87,22.21,9.25,57.89,54.58,8.56,5.93,37.01,1.9,38.0,0.0,,0.0,100.0,33.33
Felipe Bunes,Felipinho,Orthodox,97,31.71,70.9,24.7,0.0,35.24,3.01,93.02,11.82,14,7,0,14,7,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1989/10/29,45.77,7.77,71.1,0.0,28.94,22.66,26.73,5.93,24.99,2.18,0.0,0.0,,16.67,100.0,16.67
Jose Torres,Shorty,Orthodox,98,31.49,61.84,21.58,0.0,46.88,3.01,93.02,3.73,8,1,0,8,1,0,2,0,Unranked,Unranked,['flyweight'],flyweight,1992/08/02,44.28,10.95,33.33,0.0,52.63,0.0,13.21,2.21,33.0,0.69,75.01,0.0,,0.0,100.0,16.67
Felipe dos Santos,Lipe Detona,Orthodox,99,31.35,63.77,2.76,62.51,49.04,3.1,23.26,6.93,8,3,0,8,3,0,4,0,Unranked,Unranked,['flyweight'],flyweight,2000/09/11,36.59,39.27,40.0,0.0,28.94,69.11,0.0,11.86,0.0,2.54,19.98,0.0,14.27,0.0,100.0,33.33
Denys Bondar,Psycho,Orthodox,100,31.13,70.3,47.39,0.0,44.63,0.09,0.0,14.1,14,5,0,14,5,0,3,0,Unranked,Unranked,['flyweight'],flyweight,1992/06/27,47.01,18.88,64.43,0.0,68.42,53.54,41.17,8.89,57.99,3.88,62.0,0.0,,0.0,80.0,0.0
Iliarde Santos,,Orthodox,101,30.83,55.46,20.75,60.28,46.79,0.09,0.0,12.03,30,13,1,30,13,1,3,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1980/09/25,27.29,14.44,19.99,0.0,71.06,42.79,17.13,9.62,22.99,3.32,83.0,0.0,0.0,0.0,100.0,0.0
Yao Zhikui,The Conqueror,Orthodox,102,30.46,46.4,14.48,60.28,48.73,3.1,23.26,17.47,2,4,0,2,4,0,4,0,Unranked,Unranked,"['flyweight', 'bantamweight']",flyweight,1991/02/07,7.94,8.56,0.0,0.0,47.37,80.32,6.82,8.89,16.0,6.4,57.99,0.0,0.0,0.0,100.0,13.89
Shannon Ross,The Turkish Delight,Switch,103,28.37,67.3,0.0,60.28,46.64,0.09,0.0,0.0,13,9,0,13,9,0,3,0,Unranked,Unranked,['flyweight'],flyweight,1989/05/12,64.01,9.11,40.0,0.0,65.8,28.02,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
Darrell Montague,Mongoose,Southpaw,104,28.11,49.91,15.64,66.53,39.0,0.09,0.0,3.32,13,5,0,13,5,0,3,0,Unranked,13.0,['flyweight'],flyweight,1987/11/03,13.9,11.26,8.89,0.0,57.89,51.02,7.43,2.96,24.99,0.93,32.99,0.0,39.99,0.0,100.0,0.0
Yasuhiro Urushitani,,Southpaw,105,28.07,60.53,0.11,60.28,51.7,0.04,0.0,0.0,21,8,6,21,8,6,2,0,Unranked,Unranked,['flyweight'],flyweight,1976/09/08,33.12,1.42,40.0,0.0,92.12,58.69,0.0,0.73,0.0,0.0,80.0,0.0,0.0,0.0,100.0,0.0
