name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Bobby Southworth,,Orthodox,127,33.47,63.99,54.58,0.0,55.27,0.0,0.0,16.6,10,6,0,10,6,0,1,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1969/12/16,9.07,8.14,39.0,0.0,70.65,88.62,37.25,1.53,78.0,1.26,63.99,0.0,,0.0,100.0,11.11
John Allan,,Orthodox,128,33.24,72.94,41.95,0.0,60.36,0.09,0.0,16.73,13,7,0,13,7,0,3,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1993/02/22,32.64,39.08,42.0,0.0,56.52,52.68,13.1,5.37,71.01,3.8,50.02,0.0,,0.0,100.0,40.74
James Lee,,Southpaw,129,33.21,65.7,71.37,0.0,31.57,0.0,0.0,8.61,15,3,0,15,3,0,1,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1973/09/22,12.84,0.1,42.0,0.0,29.35,69.33,100.0,3.07,50.0,0.65,0.0,0.0,,0.0,100.0,0.0
Vinicius Moreira,Mamute,Orthodox,130,32.76,77.3,19.7,62.21,35.53,0.13,0.0,8.81,9,5,0,9,5,0,4,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1989/02/28,28.87,6.4,59.0,0.0,46.73,58.21,18.44,6.93,18.0,2.68,0.0,0.0,12.24,0.0,80.0,0.0
Billy Elekana,Son of Susie,Southpaw,131,32.55,80.44,55.86,0.0,32.1,0.0,0.0,45.08,7,2,0,7,2,0,1,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1995/05/28,21.45,2.73,71.0,0.0,35.87,54.66,16.37,0.76,100.0,3.42,0.0,0.0,,0.0,80.0,0.0
Brendson Ribeiro,The Gorilla,Orthodox,132,32.51,73.12,25.79,0.0,46.18,5.87,58.14,5.33,17,8,0,17,8,0,5,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1996/09/08,29.88,26.86,42.0,7.15,56.52,66.7,9.27,5.37,41.99,2.01,0.0,0.0,,14.3,100.0,15.56
Bruno Lopes,Brunao,Orthodox,133,32.29,69.74,33.02,0.0,56.69,2.9,23.26,57.27,14,2,0,14,2,0,2,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1993/04/24,25.76,7.66,43.0,0.0,61.95,72.14,23.49,10.77,32.99,8.67,100.0,0.0,,0.0,100.0,16.67
Ihor Potieria,Duelist,Southpaw,134,32.17,83.88,17.9,0.0,43.03,5.99,58.14,13.01,20,8,0,20,8,0,8,0,Unranked,Unranked,"['middleweight', 'light heavyweight']",light heavyweight,1996/05/29,40.7,50.63,50.0,21.43,54.34,59.12,6.84,11.54,18.0,7.88,66.0,0.0,,0.0,80.0,0.0
Sean O'Connell,The Real OC,Orthodox,135,32.1,85.92,8.38,0.0,38.72,5.95,93.02,23.86,17,9,0,17,9,0,7,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1983/09/02,50.05,60.53,48.0,21.43,48.91,44.2,0.0,7.68,0.0,12.64,29.99,0.0,,0.0,100.0,3.18
Amar Suloev,,Orthodox,136,31.75,65.33,47.41,0.0,53.07,0.04,0.0,0.31,24,7,0,24,7,0,2,0,Unranked,Unranked,"['middleweight', 'light heavyweight']",light heavyweight,1976/07/01,18.15,8.14,37.0,0.0,76.1,81.94,2.53,0.76,100.0,0.05,88.0,0.0,,0.0,100.0,0.0
Ricardo Romero,,Orthodox,137,31.72,73.23,15.22,0.0,44.64,2.94,93.02,16.33,11,3,0,11,3,0,3,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1978/04/15,19.89,3.5,55.0,0.0,50.0,60.68,15.25,7.68,10.0,3.71,100.0,0.0,,14.3,100.0,0.0
Saparbeg Safarov,,Orthodox,138,31.64,75.63,38.06,0.0,40.97,2.98,23.26,37.7,9,3,0,9,3,0,4,0,Unranked,Unranked,"['middleweight', 'light heavyweight']",light heavyweight,1986/10/14,36.93,24.15,48.0,0.0,51.09,75.6,23.6,9.24,41.0,11.42,32.98,0.0,,0.0,60.01,0.0
Hans Stringer,,Orthodox,139,31.55,78.57,34.82,0.0,41.5,2.94,23.26,48.43,22,8,3,22,8,3,3,0,Unranked,Unranked,['light heavyweight'],light heavyweight,1987/07/06,28.96,12.42,61.0,0.0,44.57,76.59,22.46,8.46,36.0,11.0,62.02,0.0,,0.0,100.0,0.0
