name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,td_avg_acc,splm,stance,nick_name,dob,division
Eiji Mitsuoka,170.18,65.77,,18,9,2,49.0,2.26,45.0,2.3,20.0,,36.0,1.49,Southpaw,,1976/01/01,"['featherweight', 'lightweight']"
Eldo Xavier Dias,180.34,81.65,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1964/07/16,['open weight']
Elias Garcia,165.1,56.7,170.18,6,2,0,27.0,5.05,50.0,0.68,33.0,1.4,14.0,1.59,Southpaw,,1992/09/13,['flyweight']
Elias Silverio,180.34,70.31,185.42,13,3,0,49.0,2.97,51.0,1.6200000000000003,85.0,0.2,38.0,3.6700000000000004,Orthodox,Xuxu,1986/09/22,"['lightweight', 'welterweight']"
Elias Theodorou,185.42,83.91,190.5,16,3,0,42.0,2.39,53.0,1.27,59.0,0.0,28.0,4.19,Orthodox,The Spartan,1988/05/31,"['middleweight', 'tuf nations canada vs. australia middleweight tournament']"
Elijah Smith,175.26,61.23,180.34,8,1,0,41.0,3.87,47.0,4.0,66.0,,53.0,3.83,Orthodox,Swift,2002/09/05,['bantamweight']
Eliot Marshall,187.96,92.99,195.58,10,4,0,27.0,2.39,67.0,0.47,79.0,0.9,33.0,1.93,Orthodox,Fire,1980/07/07,['light heavyweight']
Elise Reed,160.02,52.16,160.02,8,5,0,53.0,3.26,51.0,0.4600000000000001,53.0,0.0,60.0,3.41,Orthodox,,1992/12/05,"[""women's strawweight"", ""women's flyweight""]"
Elizabeth Phillips,167.64,61.23,165.1,6,6,0,33.0,3.07,58.0,0.75,53.0,0.2,25.0,2.6,Orthodox,,1986/08/20,"[""women's bantamweight""]"
Elizeu Zaleski dos Santos,180.34,77.11,185.42,25,9,1,41.0,3.52,56.0,0.75,68.0,0.5,20.0,4.26,Orthodox,Capoeira,1986/12/11,['welterweight']
Elves Brener,177.8,70.31,182.88,16,5,0,47.0,5.3,48.0,1.23,76.0,0.0,23.0,3.9900000000000007,Orthodox,,1997/09/27,"['lightweight', 'catch weight']"
Elvis Mutapcic,182.88,83.91,182.88,15,6,1,40.0,4.27,38.0,0.0,81.0,0.0,0.0,3.41,Orthodox,The King,1986/07/19,"['middleweight', 'light heavyweight']"
Elvis Sinosic,190.5,92.99,195.58,7,11,2,37.0,4.6,53.0,0.0,0.0,1.2,0.0,1.13,Orthodox,The King of Rock n' Rumble,1971/02/13,"['middleweight', 'light heavyweight']"
Emil Meek,180.34,77.11,187.96,9,5,1,39.0,2.53,38.0,0.25,47.0,1.0,33.0,2.52,Switch,Valhalla,1988/08/20,['welterweight']
Emily Ducote,157.48,52.15999999999999,160.02,13,9,0,52.0,7.840000000000001,57.0,0.2,94.0,0.0,14.0,7.45,Orthodox,Gordinha,1994/01/01,"['catch weight', ""women's strawweight""]"
Emily Kagan,160.02,52.16,,3,3,0,36.0,5.29,38.0,1.86,50.0,0.0,14.0,2.6,,,1981/07/14,"[""women's strawweight""]"
Emily Whitmire,165.1,56.70000000000001,160.02,4,5,0,31.0,2.98,54.0,1.8999999999999997,70.0,0.5,66.0,2.5,Orthodox,Spitfire,1991/05/24,"[""women's flyweight"", ""women's strawweight""]"
Emmanuel Yarborough,203.2,349.27,,1,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Open Stance,,1960/09/05,['open weight']
Enrique Barzola,170.18,65.77,177.8,17,5,2,41.0,2.97,68.0,4.2,66.0,0.3,45.0,3.91,Orthodox,El Fuerte,1989/04/28,"['featherweight', 'bantamweight', 'ultimate fighter latin america 2 lightweight tournament']"
Enrique Marin,177.8,77.11,,10,4,0,33.0,3.0,50.0,2.5,60.0,,38.0,1.43,,Wasabi,1986/09/02,"['lightweight', 'ultimate fighter latin america 2 welterweight tournament']"
Enson Inoue,177.8,95.25,,12,8,0,,1.88,,0.0,33.0,0.0,0.0,1.7,Orthodox,Yamato Damashii,1967/04/15,['lightweight']
Eric Martin,,,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,['heavyweight']
Eric McConico,182.88,83.91,195.58,9,3,1,38.0,3.6,52.0,0.0,0.0,,0.0,0.9,Southpaw,,1990/05/09,['middleweight']
Eric Schafer,190.5,83.91,193.04,14,8,2,34.0,3.38,56.0,1.8099999999999998,50.0,1.8,36.0,1.8899999999999997,Orthodox,Red,1977/09/20,"['light heavyweight', 'middleweight']"
Eric Shelton,167.64,56.70000000000001,172.72,12,6,0,42.0,1.88,63.0,2.83,46.0,0.20000000000000004,51.0,2.57,Orthodox,Showtime,1991/02/02,['flyweight']
Eric Spicely,185.42,83.91,185.42,12,6,0,45.0,5.72,55.0,1.31,75.0,1.0,20.0,3.71,Orthodox,Zebrinha,1986/09/29,['middleweight']
Eric Wisely,172.72,65.77,,26,9,1,47.0,2.08,56.0,0.0,27.0,,0.0,1.42,Southpaw,Little Lee,1984/07/25,['featherweight']
Erick Gonzalez,180.34,70.31,190.5,14,8,0,36.0,8.08,40.0,6.0,50.0,0.0,55.0,2.4,Orthodox,The Ghost Pepper,1992/01/20,['lightweight']
Erick Montano,182.88,77.11,185.42,7,5,0,,2.06,,2.29,66.0,0.0,36.0,2.7900000000000005,Orthodox,Perry,1985/11/19,"['welterweight', 'ultimate fighter latin america 2 welterweight tournament']"
Erick Silva,182.88,77.11,187.96,19,9,0,48.0,4.18,49.0,0.85,56.0,1.4,35.0,2.5,Orthodox,,1984/06/21,['welterweight']
Ericka Almeida,167.64,52.16,,7,3,0,39.0,3.33,43.0,0.5,37.0,,33.0,1.07,Orthodox,,1989/03/05,"[""women's strawweight""]"
Erik Koch,177.8,77.11,180.34,16,6,0,42.0,2.82,47.0,1.02,81.0,1.0,42.0,2.33,Southpaw,Phoenix,1988/10/04,"['welterweight', 'lightweight', 'featherweight']"
Erik Perez,172.72,61.22999999999999,172.72,17,6,0,40.0,2.09,66.0,3.16,69.0,0.2,55.0,3.16,Orthodox,Goyito,1989/11/19,['bantamweight']
Erik Silva,175.26,65.77,180.34,9,3,0,70.0,1.57,40.0,3.76,62.0,0.0,80.0,2.07,Orthodox,The King,1987/03/16,['featherweight']
Erin Blanchfield,162.56,56.7,167.64,13,2,0,44.0,4.21,59.0,1.86,80.0,0.8000000000000002,31.0,5.24,Orthodox,Cold Blooded,1999/05/04,"[""women's flyweight""]"
Ernest Chavez,172.72,65.77,177.80000000000004,10,2,0,40.0,3.89,59.0,0.89,50.0,0.0,33.0,2.7900000000000005,Orthodox,EJ,1983/06/27,"['lightweight', 'featherweight']"
Ernesta Kareckaite,175.26,56.7,180.34,6,1,1,42.0,6.09,48.0,0.67,82.0,0.0,66.0,7.38,Orthodox,Heavy-Handed,1998/07/05,"[""women's flyweight""]"
Ernie Verdicia,180.34,90.26,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Orthodox,,,['open weight']
Eryk Anders,185.42,83.91,190.5,17,8,0,48.0,4.05,50.0,1.71,80.0,0.1,24.0,3.54,Southpaw,Ya Boi,1987/04/21,"['middleweight', 'light heavyweight', 'catch weight']"
Esteban Ribovics,177.8,70.31,175.26,14,2,0,43.0,5.92,55.0,0.48,63.0,0.2,66.0,8.08,Orthodox,El Gringo,1996/04/27,['lightweight']
Estevan Payan,177.80000000000004,65.77,,16,12,0,42.0,3.58,57.0,0.36000000000000004,60.0,0.4,100.0,4.25,Orthodox,El Terrible,1982/03/14,['featherweight']
Eugene Jackson,172.72,83.91,,15,9,1,33.0,3.44,32.0,1.91,16.0,2.3,71.0,2.19,Orthodox,The Wolf,1966/09/23,['middleweight']
Eugenio Tadeu,172.72,72.57,,2,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Orthodox,,,['lightweight']
Evan Dunham,177.8,70.31,177.8,18,9,1,39.0,3.54,61.0,1.8199999999999998,79.0,1.0,33.0,5.33,Southpaw,,1981/12/18,"['catch weight', 'lightweight']"
Evan Elder,177.8,70.31,182.88,10,2,0,50.0,4.94,57.0,0.48,40.0,0.5,15.0,5.66,Switch,The Phenom,1997/04/11,"['lightweight', 'welterweight']"
Evan Tanner,182.88,83.91,187.96,32,8,0,59.0,2.64,56.0,2.55,25.0,1.3,43.0,3.05,Orthodox,,1971/02/11,"['middleweight', 'light heavyweight']"
Fabiano Iha,172.72,70.31,,9,5,0,47.0,2.4899999999999998,42.0,2.88,50.0,2.9,40.0,1.73,Orthodox,,1970/07/28,"['welterweight', 'lightweight']"
Fabiano Scherner,190.5,116.57,,11,10,0,31.0,3.2,38.0,1.09,40.0,,33.0,1.31,Orthodox,Pegaleve,1972/06/30,['heavyweight']
Fabio Cherant,185.42,92.99,187.96,7,4,0,40.0,4.89,38.0,0.0,0.0,,0.0,1.3500000000000003,Southpaw,Water Buffalo,1994/11/25,['light heavyweight']
Fabio Gurgel,182.88,92.99,,3,2,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Orthodox,,,['open weight']
Fabio Maldonado,185.42,92.99,190.5,23,11,0,58.0,4.31,53.0,0.44,61.0,0.6,57.0,5.29,Orthodox,Caipira de Aco,1980/03/17,"['light heavyweight', 'catch weight', 'heavyweight']"
Fabricio Camoes,177.80000000000004,70.31,180.34,14,9,1,33.0,1.8500000000000003,61.0,2.34,20.0,1.5,32.0,1.29,Orthodox,Morango,1978/12/23,['lightweight']
Fabricio Werdum,193.04,104.78,195.58,24,9,1,52.0,2.64,55.0,1.75,31.0,1.2,31.0,3.5900000000000003,Orthodox,Vai Cavalo,1977/07/30,"['heavyweight', 'interim heavyweight']"
Falaniko Vitale,177.8,83.91,,30,11,0,49.0,3.68,47.0,0.72,86.0,0.0,33.0,1.88,Orthodox,Niko,1974/07/14,['middleweight']
Fares Ziam,185.42,70.31,190.5,17,4,0,51.0,1.62,64.0,1.62,70.0,0.2,40.0,2.85,Orthodox,Smile Killer,1997/03/21,['lightweight']
Farid Basharat,172.72,61.23,180.34,13,0,0,55.0,2.57,59.0,3.97,80.0,0.5,44.0,4.36,Orthodox,Ferocious,1997/08/02,"['featherweight', 'bantamweight']"
Fatima Kline,167.64,52.16,170.18,8,1,0,49.0,2.29,59.0,1.21,50.0,0.0,60.0,3.94,Orthodox,The Archangel,2000/07/12,"[""women's strawweight"", ""women's flyweight""]"
Felice Herrig,162.56,52.15999999999999,165.1,14,10,0,37.0,5.19,48.0,1.08,75.0,0.8,28.0,3.84,Orthodox,Lil Bulldog,1984/09/18,"[""women's strawweight""]"
Felicia Spencer,167.64,65.77,172.72,9,3,0,48.0,4.54,45.0,1.18,27.0,0.20000000000000004,18.0,3.2099999999999995,Orthodox,FeeNom,1990/11/29,"[""women's featherweight""]"
Felipe Arantes,172.72,61.23,185.42,18,10,1,45.0,2.66,64.0,0.93,41.0,0.7,47.0,2.37,Orthodox,Sertanejo,1988/02/09,"['bantamweight', 'featherweight']"
Felipe Bunes,170.18,56.7,175.26,14,7,0,53.0,7.86,41.0,2.59,0.0,,25.0,4.49,Orthodox,Felipinho,1989/10/29,['flyweight']
Felipe Colares,172.72,65.77,175.26,10,4,0,45.0,4.65,36.0,1.88,43.0,,24.0,2.17,Orthodox,Cabocao,1994/03/31,"['featherweight', 'bantamweight']"
Felipe Lima,167.64,61.23,172.72,14,2,0,45.0,2.91,64.0,2.18,85.0,,27.0,2.86,Orthodox,Jungle Boy,1998/05/07,"['bantamweight', 'featherweight']"
Felipe Olivieri,175.26,70.31,,14,5,0,58.0,4.6,57.0,0.0,71.0,,0.0,6.68,Orthodox,,1985/04/12,['lightweight']
Felipe Silva,182.88,70.31,195.58,8,2,0,50.0,1.8,59.0,1.0,71.0,,100.0,5.400000000000001,Orthodox,,1984/05/08,['lightweight']
Felipe dos Santos,170.18,56.7,177.8,8,3,0,39.0,3.8,41.0,0.0,20.0,0.5,0.0,3.75,Orthodox,Lipe Detona,2000/09/11,['flyweight']
Felix Lee Mitchell,,,,2,7,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Orthodox,,,['open weight']
Feng Xiaocan,170.18,52.16,170.18,10,4,0,49.0,1.49,68.0,0.7,63.0,,100.0,4.18,Southpaw,,2001/12/27,"[""women's strawweight""]"
Fernando Bruno,167.64,65.77,,15,4,0,39.0,1.78,48.0,2.02,56.0,,22.0,1.75,,Acougueiro,1982/02/24,"['featherweight', 'ultimate fighter brazil 4 lightweight tournament']"
Fernando Padilla,185.42,65.77,193.04,16,6,0,40.0,5.74,52.0,0.0,100.0,0.6,0.0,6.07,Orthodox,El Valiente,1996/12/15,['featherweight']
Fernie Garcia,170.18,61.23,170.18,10,5,0,34.0,3.79,48.0,0.28,50.0,0.6,50.0,2.04,Orthodox,,1992/04/12,"['featherweight', 'bantamweight']"
Filip Pejic,172.72,61.23,,12,2,2,,0.88,,0.0,0.0,0.0,0.0,0.0,Orthodox,,1992/07/21,['bantamweight']
Flavio Luiz Moura,180.34,83.01,,19,7,0,16.0,0.0,0.0,0.0,0.0,,0.0,0.67,Open Stance,,,['middleweight']
Floyd Sword,182.88,83.91,,12,3,0,42.0,1.57,40.0,0.0,33.0,,0.0,0.78,Orthodox,,1976/08/24,['middleweight']
Forrest Griffin,190.5,92.99,195.58,19,7,0,36.0,2.81,61.0,1.05,57.0,0.7,48.0,4.38,Orthodox,,1979/03/16,"['light heavyweight', 'ultimate fighter 1 light heavyweight tournament']"
Forrest Petz,175.26,77.11,180.34,26,10,0,29.0,2.2,57.0,1.3,66.0,0.0,100.0,2.27,Orthodox,The Meat Cleaver,1975/09/22,['welterweight']
Francesco Maturi,,,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,['open weight']
Francimar Barroso,185.42,92.99,190.5,19,7,0,52.0,3.07,59.0,2.22,83.0,0.0,24.0,2.77,Orthodox,Bodao,1980/02/28,['light heavyweight']
Francis Carmont,190.5,92.99,198.12,25,12,0,42.0,1.64,59.0,1.79,73.0,0.6,36.0,2.22,Orthodox,Limitless,1981/10/11,['middleweight']
Francis Marshall,175.26,65.77,182.88,8,3,0,33.0,4.1,54.0,2.75,66.0,0.4,44.0,3.46,Orthodox,Fire,1999/03/03,"['featherweight', 'lightweight']"
Francis Ngannou,193.04,113.4,210.82,17,3,0,41.0,2.16,41.0,0.76,71.0,0.3,62.0,2.3300000000000005,Orthodox,The Predator,1986/09/05,['heavyweight']
Francisco Figueiredo,167.64,56.7,172.72,13,5,1,61.0,2.59,61.0,2.51,76.0,0.4,75.0,2.04,Southpaw,Sniper,1989/10/23,['flyweight']
Francisco Prado,177.8,77.11,175.26,12,3,0,41.0,5.32,55.0,0.31,25.0,,9.0,4.38,Orthodox,,2002/06/16,"['welterweight', 'lightweight']"
Francisco Rivera,172.72,61.23,177.8,11,7,0,41.0,3.1600000000000006,68.0,1.01,68.0,0.6,63.0,4.07,Orthodox,Cisco,1981/10/08,['bantamweight']
Francisco Trevino,175.26,70.31,177.80000000000004,13,3,0,42.0,2.42,64.0,0.9700000000000001,41.0,0.0,22.0,2.65,Orthodox,Sitkayan,1981/12/17,['lightweight']
Francisco Trinaldo,175.26000000000002,77.11,177.8,28,9,0,45.0,2.67,60.0,0.98,60.0,0.5,42.0,3.13,Southpaw,Massaranduba,1978/08/24,"['welterweight', 'lightweight', 'middleweight']"
Frank Camacho,177.8,70.31,185.42,22,10,0,46.0,7.44,51.0,1.11,73.0,0.0,31.0,6.56,Orthodox,The Crank,1989/05/18,"['lightweight', 'welterweight']"
Frank Caracci,,,,2,3,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,['lightweight']
Frank Hamaker,,,,1,0,0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,['open weight']
Frank Lester,180.34,77.11,,11,6,0,36.0,3.82,53.0,0.0,0.0,,0.0,2.18,Orthodox,,1984/06/10,['welterweight']
Frank Mir,190.5,119.75,200.66,18,11,0,47.0,3.84,38.0,2.02,54.0,2.0,40.0,2.18,Southpaw,,1979/05/24,"['heavyweight', 'interim heavyweight']"
Frank Shamrock,177.8,83.91,,23,10,2,,4.66,,0.35,37.0,1.1,50.0,4.75,Orthodox,,1972/12/08,['light heavyweight']
Frank Trigg,175.26,77.11,180.34,21,9,0,46.0,1.9,56.0,2.35,75.0,0.8,47.0,2.79,Southpaw,Twinkle Toes,1972/05/07,['welterweight']
Frankie Edgar,167.64,61.23,172.72,23,11,1,40.0,2.82,65.0,2.29,65.0,0.3,31.0,3.77,Orthodox,The Answer,1981/10/16,"['bantamweight', 'featherweight', 'lightweight', 'interim featherweight']"
Frankie Perez,180.34,70.31,185.42,10,4,0,41.0,2.17,54.0,1.75,50.0,0.3,41.0,1.64,Orthodox,,1989/05/11,['lightweight']
Frankie Saenz,167.64,61.23,167.64,13,7,0,47.0,3.5,52.0,1.7399999999999998,61.0,0.1,31.0,3.94,Orthodox,,1980/08/12,['bantamweight']
Fred Ettish,182.88,81.65,,1,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Southpaw,,,['open weight']
Fredson Paixao,167.64,65.77,167.64,10,5,0,,2.31,,0.62,10.0,2.2,11.0,1.71,Orthodox,,1979/05/13,['featherweight']
Fredy Serrano,160.02,56.7,165.1,3,2,0,26.0,1.89,61.0,2.84,84.0,,25.0,1.58,Orthodox,El Profe,1979/09/22,['flyweight']
Gabe Green,177.80000000000004,70.31,185.42,12,5,0,45.0,6.19,47.0,0.71,50.0,0.5,50.0,5.599999999999999,Switch,Gifted,1993/05/02,"['lightweight', 'welterweight']"
Gabe Ruediger,177.80000000000004,70.31,,18,8,0,31.0,5.16,41.0,2.04,28.0,,11.0,1.7,Orthodox,Godzilla,1977/08/29,['lightweight']
Gabriel Benitez,172.72,70.31,180.34,23,13,0,41.0,4.49,63.0,0.22,55.0,0.9000000000000001,50.0,5.26,Southpaw,Moggly,1988/06/15,"['lightweight', 'featherweight']"
Gabriel Bonfim,185.42,77.11,182.88,18,1,0,45.0,3.53,63.0,4.03,76.0,1.6,55.0,4.54,Orthodox,Marretinha,1997/08/20,['welterweight']
Gabriel Gonzaga,187.96,109.77,193.04,17,11,0,45.0,2.9399999999999995,57.0,2.8,66.0,1.1,39.0,2.12,Orthodox,Napao,1979/05/18,['heavyweight']
Gabriel Miranda,180.34,65.77,180.34,17,8,0,43.0,6.01,37.0,4.75,0.0,,38.0,3.23,Orthodox,Fly,1990/03/25,"['featherweight', 'lightweight']"
Gabriel Santos,175.26,65.77,177.8,12,2,0,60.0,4.31,45.0,3.8,87.0,,54.0,4.35,Orthodox,Mosquitinho,1996/11/28,['featherweight']
Gabriel Silva,167.64,61.23,180.34,8,2,0,34.0,3.47,45.0,1.5,38.0,0.5,25.0,1.3,Orthodox,,1994/08/26,['bantamweight']
Gabriella Fernandes,167.64,56.7,167.64,10,3,0,46.0,5.5,49.0,0.56,60.0,,18.0,3.46,Southpaw,Gabi,1993/08/13,"[""women's flyweight""]"
Gadzhi Omargadzhiev,185.42,77.11,180.34,13,2,0,39.0,2.2,39.0,1.35,60.0,,30.0,1.8,Switch,,1993/02/24,"['welterweight', 'middleweight']"
Gadzhimurad Antigulov,180.34,92.99,177.80000000000004,20,8,0,55.0,4.21,40.0,5.08,0.0,1.3999999999999997,36.0,2.08,Orthodox,,1987/02/09,['light heavyweight']
Gaetano Pirrello,170.18,61.23,165.1,15,7,1,55.0,2.44,42.0,0.0,30.0,,0.0,0.99,Orthodox,El Tigre,1992/04/29,['bantamweight']
Galore Bofando,180.34,77.11,182.88,5,3,0,45.0,3.63,54.0,2.37,50.0,,100.0,3.63,Switch,,1982/05/22,['welterweight']
Gan McGee,208.28,120.2,,13,5,0,29.0,2.31,59.0,0.65,83.0,0.0,25.0,2.2,Orthodox,The Giant,1976/11/20,"['heavyweight', 'super heavyweight']"
Garett Whiteley,182.88,70.31,182.88,7,3,0,48.0,4.04,46.0,0.0,27.0,,0.0,3.72,Orthodox,Goodnight,1980/12/13,['lightweight']
Garreth McLellan,185.42,83.91,182.88,13,6,0,54.0,2.94,45.0,1.15,34.0,0.9,22.0,3.56,Southpaw,Soldier Boy,1982/09/01,['middleweight']
Garrett Armfield,167.64,61.23,177.8,10,5,0,53.0,3.6399999999999997,56.0,1.1,64.0,,50.0,5.35,Orthodox,,1996/10/09,"['bantamweight', 'featherweight']"
Gary Goodridge,190.5,112.94,,23,22,1,56.0,2.14,48.0,0.4,53.0,0.8,100.0,1.84,Orthodox,Big Daddy,1966/01/17,"['heavyweight', 'open weight', '8 tournament']"
Gasan Umalatov,180.34,77.11,180.34,17,4,2,39.0,4.1,59.0,0.75,90.0,,17.0,2.23,Orthodox,Cobra,1982/09/11,['welterweight']
Gaston Bolanos,170.18,61.23,175.26,8,5,0,49.0,2.4,50.0,0.66,42.0,0.0,100.0,3.28,Orthodox,The Dreamkiller,1992/09/14,['bantamweight']
Gauge Young,175.26,70.31,177.8,9,3,0,48.0,6.53,44.0,0.0,64.0,,0.0,4.83,Orthodox,Gee Money,2000/07/14,['lightweight']
Gavin Tucker,167.64000000000001,65.77,167.64000000000001,13,3,0,44.0,4.18,57.0,3.13,53.0,1.5,44.0,4.29,Southpaw,Guv'nor,1986/06/17,['featherweight']
Geane Herrera,165.1,56.7,167.64,9,3,0,31.0,5.07,52.0,0.83,38.0,,37.0,1.51,Orthodox,La Pulga,1990/05/27,['flyweight']
Gegard Mousasi,187.96,83.91,193.04,42,6,2,50.0,1.21,68.0,1.59,59.0,1.1,60.0,3.75,Orthodox,,1985/08/01,"['middleweight', 'light heavyweight']"
Genaro Valdez,175.26,70.31,182.88,10,3,0,30.0,7.16,48.0,1.54,36.0,,44.0,4.08,Orthodox,Rayadito,1992/01/16,['lightweight']
Genki Sudo,175.26,70.31,,15,4,2,39.0,2.23,33.0,3.58,50.0,4.2,60.0,1.55,Orthodox,Neo-Samurai,1978/03/08,['lightweight']
Geoff Neal,180.34,77.11,190.5,16,6,0,51.0,5.44,57.0,0.56,87.0,0.1,50.0,5.05,Southpaw,Handz of Steel,1990/08/28,['welterweight']
George Roop,185.42000000000002,61.230000000000004,182.88,15,13,1,34.0,2.4699999999999998,60.0,1.05,59.0,0.1,57.0,3.43,Orthodox,,1981/11/10,"['bantamweight', 'lightweight', 'featherweight']"
George Sotiropoulos,177.8,70.31,180.34,14,7,0,,2.52,,2.32,53.0,1.6,31.0,2.61,Orthodox,,1977/07/09,"['lightweight', 'welterweight']"
George Sullivan,182.87999999999997,77.11,185.42,17,7,0,39.0,2.4199999999999995,57.0,1.3699999999999999,38.0,0.7,20.0,3.53,Orthodox,The Silencer,1981/03/13,['welterweight']
Georges St-Pierre,180.34,83.91,193.04,26,2,0,53.0,1.4,72.0,4.16,83.0,1.1,74.0,3.78,Orthodox,Rush,1981/05/19,"['welterweight', 'interim welterweight', 'middleweight']"
Gerald Harris,180.34,83.91,195.58,23,5,0,,1.58,,2.96,72.0,0.0,54.0,1.41,Southpaw,,1979/11/19,['middleweight']
Gerald Meerschaert,185.42,83.91,195.58,37,19,0,45.0,3.43,53.0,1.86,42.0,1.4,31.0,3.05,Southpaw,GM3,1987/12/18,['middleweight']
Gerald Strebendt,175.26,70.31,,9,7,0,0.0,4.0,38.0,0.0,0.0,,0.0,0.0,Orthodox,The Finishing Machine,1979/03/01,['lightweight']
Geraldo de Freitas,170.18,61.23,182.88,12,6,0,,2.62,,3.0,59.0,0.0,45.0,3.67,Orthodox,Spartan,1991/09/30,"['bantamweight', 'featherweight']"
Germaine de Randamie,175.26,61.23,180.34,10,5,0,46.0,2.0,65.0,0.0,65.0,0.4000000000000001,0.0,2.57,Orthodox,The Iron Lady,1984/04/24,"[""women's bantamweight"", ""women's featherweight""]"
Gerry Harris,203.2,122.47,,1,4,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Orthodox,,,['open weight']
Geza Kalman,185.42,90.72,,4,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,['open weight']
Gian Villante,190.5,104.33,193.04,17,14,0,44.0,5.47,55.0,0.44999999999999996,83.0,0.0,23.0,4.38,Orthodox,,1985/08/18,"['heavyweight', 'light heavyweight']"
Gideon Ray,177.80000000000004,83.91,,17,15,1,40.0,2.58,53.0,1.49,0.0,,100.0,2.08,Southpaw,,1973/05/27,['middleweight']
Giga Chikadze,182.88,65.77,187.96,15,5,0,42.0,3.48,60.0,0.18999999999999997,65.0,0.2,33.0,3.82,Orthodox,Ninja,1988/08/25,['featherweight']
Gil Castillo,175.26,77.11,,8,5,0,45.0,2.22,44.0,3.33,50.0,0.0,45.0,0.6,Southpaw,,1965/10/21,"['welterweight', 'middleweight']"
Gilbert Aldana,185.42,113.4,,6,2,0,54.0,6.26,26.0,2.57,33.0,,40.0,2.91,Orthodox,El Peligro,1977/08/25,['heavyweight']
Gilbert Burns,177.80000000000004,77.11,180.34,22,9,0,48.0,3.64,52.0,2.12,53.0,0.5,37.0,3.15,Orthodox,Durinho,1986/07/20,"['welterweight', 'lightweight']"
Gilbert Melendez,175.26,65.77,185.42,22,8,0,33.0,2.53,63.0,1.64,71.0,0.20000000000000004,41.0,3.44,Orthodox,El Nino,1982/04/12,"['featherweight', 'lightweight']"
Gilbert Smith,175.26,83.91,,12,6,0,41.0,2.73,35.0,3.51,0.0,,60.0,1.09,Southpaw,,1981/10/19,['middleweight']
Gilbert Urbina,190.5,77.11,190.5,7,4,0,57.0,4.61,44.0,3.01,0.0,0.8,44.0,5.61,Orthodox,The RGV Bad Boy,1996/04/05,"['welterweight', 'middleweight']"
Gilbert Yvel,187.96,102.06,195.58,39,16,1,47.0,1.78,50.0,0.0,25.0,,0.0,1.05,Orthodox,The Hurricane,1976/06/30,['heavyweight']
Gillian Robertson,165.1,52.16,160.02,16,8,0,48.0,2.86,56.0,2.74,41.0,0.8999999999999999,40.0,2.86,Orthodox,The Savage,1995/05/17,"[""women's strawweight"", ""women's flyweight""]"
Gina Mazany,167.64,56.7,172.72,7,6,0,50.0,3.52,50.0,4.34,33.0,0.2,52.0,3.73,Southpaw,Danger,1988/08/19,"[""women's flyweight"", ""women's bantamweight""]"
Glaico Franca Moreira,182.88,70.31,195.58,15,5,0,,3.4599999999999995,,2.68,76.0,0.3,42.0,2.35,Orthodox,Nego,1991/02/28,"['lightweight', 'ultimate fighter brazil 4 lightweight tournament']"
Gleison Tibau,177.8,70.31,180.34,33,14,0,31.0,2.5100000000000002,63.0,4.08,92.0,0.8,53.0,1.95,Southpaw,,1983/10/07,"['lightweight', 'welterweight']"
Gloria de Paula,165.1,52.16,170.18,6,5,0,53.0,3.77,66.0,0.74,65.0,0.5,37.0,4.89,Orthodox,Glorinha,1995/06/10,"[""women's strawweight""]"
Glover Teixeira,187.96,92.99,193.04,33,9,0,49.0,4.43,51.0,2.11,60.0,0.9,33.0,3.7300000000000004,Orthodox,,1979/10/28,['light heavyweight']
Godofredo Pepey,170.18,65.77,185.42,13,6,0,38.0,3.23,47.0,0.37000000000000005,35.0,1.5,7.0,2.32,Orthodox,,1987/07/02,"['featherweight', 'ultimate fighter brazil 1 featherweight tournament']"
Gokhan Saki,182.88,92.99,185.42,1,2,0,,4.57,,0.0,100.0,0.0,0.0,7.09,Orthodox,The Rebel,1983/10/19,['light heavyweight']
Goran Reljic,190.5,92.99,205.74,15,8,0,37.0,2.69,59.0,1.69,33.0,1.1,50.0,1.69,Southpaw,,1984/03/20,"['light heavyweight', 'middleweight']"
Grant Dawson,177.8,70.31,182.88,23,2,1,52.0,2.11,44.0,3.87,57.0,1.1,40.0,3.2,Switch,KGD,1994/02/20,"['lightweight', 'catch weight', 'featherweight']"
Gray Maynard,175.26,70.31,177.8,13,7,1,32.0,2.64,66.0,2.91,81.0,0.7,47.0,1.92,Orthodox,,1979/05/09,"['lightweight', 'featherweight']"
