name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,td_avg_acc,splm,stance,nick_name,dob,division
Abel Trujillo,172.72,70.31,177.8,15,8,0,41.0,2.31,59.0,2.18,40.0,0.4,45.0,2.65,Orthodox,Killa,1983/09/18,['lightweight']
Abner Lloveras,180.34,70.31,,20,9,1,49.0,6.87,43.0,2.0,0.0,,20.0,6.27,,Skullman,1982/09/04,['lightweight']
Abu Azaitar,175.26,83.91,193.04,14,4,1,43.0,4.32,51.0,1.0,42.0,0.0,37.0,4.38,Orthodox,Captain Morocco,1986/03/10,['middleweight']
Abubakar Nurmagomedov,180.34,77.11,182.88,17,4,1,53.0,2.61,65.0,1.25,88.0,0.0,22.0,2.78,Orthodox,,1989/11/13,['welterweight']
Abus Magomedov,187.96,83.91,198.12,28,6,1,48.0,3.68,56.0,2.65,100.0,0.20000000000000004,57.0,3.2099999999999995,Orthodox,,1990/09/02,['middleweight']
Adam Cella,187.96,77.11,,6,8,0,42.0,2.61,51.0,3.92,50.0,,75.0,1.91,,El Naturel,1985/06/26,['middleweight']
Adam Fugitt,185.42,77.11,195.58,10,4,0,45.0,4.48,51.0,2.04,50.0,,29.0,4.72,Southpaw,,1989/01/12,['welterweight']
Adam Milstead,190.5,92.99,193.04,8,4,0,46.0,4.79,43.0,0.0,64.0,0.0,0.0,3.85,Orthodox,The Prototype,1987/07/03,"['light heavyweight', 'heavyweight']"
Adam Wieczorek,195.58,113.40000000000002,205.74,10,2,0,38.0,1.87,48.0,0.41,58.0,0.4,33.0,1.68,Orthodox,Siwy,1992/02/05,['heavyweight']
Adam Yandiev,175.26,83.91,187.96,9,1,0,,6.14,,0.0,25.0,0.0,0.0,0.18,Orthodox,Boroda,1988/08/07,['middleweight']
Adlan Amagov,187.96,77.11,193.04,14,2,1,47.0,0.82,78.0,5.84,100.0,,56.0,3.29,Orthodox,Borz,1986/10/30,['welterweight']
Adrian Serrano,172.72,77.11,,56,29,4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1963/12/23,['welterweight']
Adrian Yanez,170.18,61.22999999999999,177.8,17,6,0,41.0,5.75,54.0,0.0,81.0,0.0,0.0,6.23,Orthodox,,1993/11/29,['bantamweight']
Adriano Martins,177.8,70.31,182.87999999999997,28,9,0,38.0,2.14,65.0,0.83,81.0,0.4000000000000001,80.0,1.8,Southpaw,,1982/12/16,['lightweight']
Adriano Santos,,,,0,1,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,['middleweight']
Aiemann Zahabi,172.72,61.22999999999999,172.72,13,2,0,46.0,4.13,69.0,0.14,83.0,0.0,14.0,4.42,Orthodox,,1987/11/19,"['bantamweight', 'featherweight']"
Ailin Perez,165.1,61.23,167.64,12,2,0,54.0,1.79,55.0,4.68,66.0,0.2,46.0,3.1,Switch,Fiona,1994/10/05,"[""women's bantamweight"", ""women's featherweight""]"
Aisling Daly,157.48,52.16,162.56,16,6,0,52.0,1.3999999999999997,55.0,2.15,33.0,0.9,41.0,2.92,Orthodox,Ais the Bash,1987/12/24,"[""women's strawweight""]"
Akbarh Arreola,177.8,70.31,180.34,23,11,1,45.0,4.01,56.0,1.07,33.0,0.4,100.0,2.32,Southpaw,El Caballero,1983/01/14,['lightweight']
Akihiro Gono,170.18,77.11,172.72,35,21,8,48.0,2.67,63.0,1.01,46.0,0.5,84.0,2.18,Switch,,1974/10/07,['welterweight']
Akira Corassani,172.72,65.77,172.72,12,6,0,45.0,4.91,50.0,0.6999999999999998,86.0,0.0,28.0,3.25,Orthodox,,1982/08/27,['featherweight']
Al Iaquinta,177.8,70.31,177.8,14,7,1,40.0,4.53,61.0,0.63,74.0,0.2,18.0,4.06,Orthodox,Raging,1987/04/30,"['lightweight', 'ultimate fighter 15 lightweight tournament']"
Alan Baudot,190.5,110.22,200.66,8,3,0,58.0,4.82,46.0,0.0,62.0,0.0,0.0,5.36,Orthodox,The Black Samourai,1988/02/01,['heavyweight']
Alan Belcher,187.96,83.91,190.5,18,8,0,41.0,3.1,59.0,0.44,55.0,0.9,26.0,2.7,Orthodox,The Talent,1984/04/24,"['middleweight', 'catch weight', 'light heavyweight']"
Alan Jouban,182.88,77.11,185.42000000000002,17,7,0,50.0,3.77,60.0,0.51,58.0,0.3,44.0,5.67,Southpaw,Brahma,1981/11/25,['welterweight']
Alan Omer,177.8,65.77,,20,5,0,,2.21,,1.69,66.0,0.0,42.0,3.49,Orthodox,,1988/09/14,['featherweight']
