,name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,td_avg,td_def,sub_avg,stance,dob
101,Aljamain Sterling,170.18,65.77,180.34,24,5,0,52.0,2.21,58.0,2.51,42.0,0.6999999999999998,Orthodox,1989/07/31
102,Allan Goes,182.88,92.99,,10,5,2,52.0,1.35,41.0,1.75,0.0,,Orthodox,1971/04/20
103,Allan Nascimento,172.72,56.7,175.26,21,6,0,60.0,1.96,50.0,1.42,30.0,0.9,Orthodox,1991/09/11
104,Allan Zuniga,170.18,70.31,177.8,13,1,0,52.0,1.8,61.0,0.0,57.0,,Orthodox,1992/04/04
105,Allen Berube,172.72,70.31,,4,3,0,80.0,0.92,33.0,6.87,0.0,,Orthodox,1974/08/25
106,Allen Crowder,190.5,111.13,193.04,10,4,0,51.0,2.9500000000000006,56.0,1.8500000000000003,100.0,1.2,Orthodox,1989/11/08
107,Alonzo Menifield,182.88,92.99,193.04,17,5,1,53.0,3.76,50.0,0.5,78.0,0.2,Orthodox,1987/10/18
108,Alptekin Ozkilic,165.1,56.7,165.1,9,5,0,32.0,5.72,59.0,4.21,75.0,0.0,Orthodox,1986/03/27
109,Alvaro Herrera Mendoza,182.88,70.31,187.96,9,6,0,38.0,3.4,55.0,0.0,33.0,1.1,Orthodox,1990/05/14
110,Alvin Hines,187.96,120.2,187.96,7,1,0,31.0,7.47,38.0,1.0,0.0,,Orthodox,1991/10/20
111,Alvin Robinson,175.26,70.31,172.72,15,9,0,50.0,1.29,51.0,1.24,25.0,1.2,Southpaw,1982/07/16
112,Amanda Cooper,160.02,52.16,162.56,3,5,0,44.0,3.2000000000000006,51.0,1.53,28.0,1.8,Switch,1991/10/22
113,Amanda Lemos,162.56,52.16,165.09999999999997,15,4,1,54.0,3.46,44.0,1.14,59.0,0.7,Southpaw,1987/05/22
114,Amanda Nunes,172.72,61.22999999999999,175.26,23,5,0,51.0,2.62,57.0,2.73,82.0,0.7,Orthodox,1988/05/30
115,Amanda Ribas,160.02,52.16,167.64,13,6,0,39.0,3.24,60.0,2.06,83.0,0.6,Orthodox,1993/08/26
116,Amar Suloev,175.26,83.01,,24,7,0,37.0,2.19,70.0,0.27,88.0,,Orthodox,1976/07/01
117,Amaury Bitetti,175.26,83.91,,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,Orthodox,
118,Amilcar Alves,182.88,77.11,,15,12,0,46.0,2.02,30.0,0.0,53.0,,Southpaw,1988/08/08
119,Amir Albazi,165.1,56.70000000000001,172.72,17,2,0,34.0,3.7099999999999995,61.0,1.39,50.0,0.5,Orthodox,1993/10/27
120,Amir Sadollah,177.8,77.11,190.5,6,5,0,46.0,3.55,60.0,0.57,60.0,0.3,Orthodox,1980/08/27
121,Anderson Dos Santos,165.1,61.23,177.8,21,9,0,25.0,5.37,49.0,0.98,66.0,,Orthodox,1985/07/24
122,Anderson Silva,187.96,83.91,195.58,34,11,0,61.0,2.05,60.0,0.5,69.0,0.8,Southpaw,1975/04/14
123,Andre Ewell,172.72,65.77,190.5,17,9,0,40.0,4.87,51.0,0.36,72.0,0.1,Southpaw,1988/01/21
124,Andre Fialho,182.87999999999997,77.11,187.96,16,8,0,41.0,6.26,45.0,0.25,66.0,0.0,Orthodox,1994/04/07
125,Andre Fili,180.34,65.77,187.96,24,12,0,37.0,4.15,51.0,2.17,70.0,0.2,Orthodox,1990/06/25
