name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Roger Narvaez,190.5,83.91,,8,3,0,37.0,3.32,64.0,2.12,0.0,50.0,0.0,,1.0,0.0,221.0,67.0,181.0,0.0,2.0,Southpaw,Silverback,1983/09/09,"['middleweight', 'light heavyweight']",middleweight,['Decision - Split'],"['KO/TKO', 'KO/TKO']",[3.0],9.0,0,0,3,1,2.0,0.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Roger Zapata,180.34,77.11,,4,2,0,51.0,2.13,36.0,2.6,0.0,81.0,0.0,,0.0,0.0,24.0,28.0,54.0,0.0,1.0,Southpaw,Viva,1986/05/09,['welterweight'],welterweight,[],"[""TKO - Doctor's Stoppage""]",[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Rogerio Bontorin,165.1,56.70000000000001,170.18,16,4,0,52.0,3.27,50.0,2.63,2.9,51.0,60.0,1.0,0.0,2.0,1154.0,140.0,259.0,13.0,21.0,Orthodox,,1992/04/25,"['flyweight', 'bantamweight']",flyweight,"[""TKO - Doctor's Stoppage"", 'Decision - Split']","['KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'Overturned']","[1.0, 3.0]",18.0,0,0,6,2,1.0,0.0,2.0,1.0,3.0,1,0,1,Unranked,6.0
Rogerio Nogueira,187.96,92.99,190.5,23,10,0,35.0,2.34,59.0,2.43,0.64,62.0,44.0,0.8,4.0,0.0,386.0,263.0,695.0,1.0,1.0,Southpaw,Minotouro,1976/06/02,['light heavyweight'],light heavyweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Split']","['KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous']","[1.0, 1.0, 2.0, 3.0, 1.0, 3.0]",41.0,0,0,13,6,3.0,0.0,4.0,0.0,7.0,4,0,2,Unranked,5.0
Roland Delorme,175.26,61.23,180.34,9,5,0,,4.32,,2.28,2.5100000000000002,42.0,34.0,1.6,2.0,7.0,810.0,0.0,0.0,11.0,32.0,Orthodox,,1983/12/18,['bantamweight'],bantamweight,"['Decision - Unanimous', 'Submission', 'Submission']","['Submission', 'Decision - Unanimous', 'Decision - Split', 'Overturned']","[3.0, 1.0, 3.0]",21.0,0,0,7,3,0.0,1.0,2.0,1.0,3.0,0,2,1,Unranked,Unranked
Roland Payne,175.26,92.99,,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,4.0,1.0,2.0,Orthodox,,,['open weight'],open weight,[],['KO/TKO'],[],0.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Rolando Bedoya,180.34,70.31,187.96,14,4,0,49.0,6.38,52.0,7.29,0.0,33.0,0.0,,0.0,0.0,111.0,328.0,666.0,0.0,7.0,Orthodox,The Machine,1997/01/13,"['lightweight', 'welterweight']",welterweight,[],"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Split']",[],9.0,0,0,3,0,0.0,0.0,3.0,0.0,3.0,0,0,0,Unranked,Unranked
Rolando Delgado,190.5,70.31,195.58,11,6,1,40.0,1.83,62.0,1.5599999999999998,1.17,0.0,22.0,3.5,1.0,3.0,499.0,25.0,73.0,2.0,9.0,Orthodox,Roli,1981/11/22,['lightweight'],lightweight,['Submission'],"['KO/TKO', 'Decision - Unanimous']",[2.0],9.0,0,0,3,1,1.0,0.0,1.0,0.0,2.0,0,1,0,Unranked,Unranked
Rolando Dy,172.72,65.77,175.26,9,7,1,37.0,4.47,52.0,3.04,0.3,68.0,20.0,0.0,1.0,0.0,205.0,94.0,249.0,1.0,5.0,Orthodox,Dy Incredible,1990/08/11,['featherweight'],featherweight,['Decision - Unanimous'],"['KO/TKO', 'Decision - Unanimous', ""TKO - Doctor's Stoppage""]",[3.0],12.0,0,0,4,1,2.0,0.0,1.0,0.0,3.0,0,0,1,Unranked,Unranked
Roldan Sangcha'an,162.56,56.7,,4,2,0,46.0,2.15,51.0,2.71,1.94,68.0,60.0,0.0,0.0,0.0,188.0,36.0,81.0,3.0,5.0,Orthodox,The Executioner,1990/12/04,['flyweight'],flyweight,[],"['Submission', 'Decision - Unanimous']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
