name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Jordan Rinaldi,All Day,Orthodox,183,42.22,60.91,29.88,66.59,59.32,5.82,58.14,33.57,14,7,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,"['lightweight', 'featherweight']",lightweight,1987/09/25,56.58,64.41,63.45,59.21,69.5,69.24,31.08,29.75,32.06,31.38,50.74,57.64,71.73,65.01,71.97,47.8
Matt Veach,,Orthodox,184,42.21,58.85,37.86,59.84,46.42,2.92,93.02,20.4,17,5,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1981/05/31,53.64,58.48,57.67,65.6,51.39,47.74,43.95,32.34,35.91,31.22,75.35,57.8,76.53,57.72,47.3,11.2
Matt Grice,The Real One,Orthodox,185,42.14,77.65,41.38,56.04,49.17,5.91,23.26,46.0,15,5,0,2,5.0,0.0,0.0,7,0,Unranked,Unranked,"['lightweight', 'featherweight']",lightweight,1981/07/29,78.17,73.23,81.36,77.84,59.03,58.9,41.06,38.15,39.15,42.7,67.69,57.84,61.23,57.76,47.33,11.06
John Gunther,The Machine,Orthodox,186,42.06,60.87,59.46,56.61,46.7,2.87,23.26,58.39,5,1,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['lightweight'],lightweight,1985/11/24,58.68,57.3,66.85,60.65,57.15,58.61,95.18,53.79,59.17,52.53,40.74,57.21,52.98,57.13,59.12,30.31
Rolando Delgado,Roli,Orthodox,187,42.02,63.66,19.38,76.79,50.92,2.92,93.02,29.08,11,6,1,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1981/11/22,58.04,60.27,69.75,66.59,67.87,68.19,21.07,20.24,20.29,20.57,39.91,66.49,100.0,64.15,71.02,27.71
Brad Riddell,Quake,Orthodox,188,42.0,74.38,30.24,54.14,59.69,11.57,23.26,14.06,10,4,0,4,3.0,0.0,0.0,7,0,Unranked,12.0,['lightweight'],lightweight,1991/09/30,84.4,63.42,82.55,67.14,64.29,61.47,30.57,30.11,30.47,27.84,68.43,57.86,53.58,57.78,47.35,44.57
Tom Nolan,Big Train,Southpaw,189,41.66,72.1,8.88,67.09,71.42,8.61,46.51,6.34,9,1,0,3,1.0,0.0,0.0,4,0,Unranked,Unranked,['lightweight'],lightweight,2000/03/08,92.68,60.67,74.36,60.69,64.62,58.82,8.26,8.8,8.12,8.5,76.55,68.17,75.15,55.57,69.47,85.68
Tae Hyun Bang,Supernatural,Switch,190,41.35,69.67,18.78,59.47,64.45,5.82,58.14,9.34,18,10,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,['lightweight'],lightweight,1983/04/15,66.49,68.17,66.86,77.16,74.38,70.16,17.22,17.88,20.05,17.87,65.86,62.96,59.91,56.52,58.49,47.4
Leonardo Mafra,Macarrao,Orthodox,191,41.23,70.75,48.99,58.13,43.78,2.96,23.26,18.05,13,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['lightweight', 'welterweight', 'middleweight']",lightweight,1989/04/25,82.28,62.98,77.09,60.64,50.4,50.29,48.7,40.51,63.34,41.46,63.29,57.21,59.05,57.13,59.13,11.13
Dong Hyun Ma,Maestro,Orthodox,192,41.22,68.18,35.39,59.07,46.1,8.78,46.51,17.5,16,11,3,3,5.0,0.0,0.0,8,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1988/09/09,66.04,74.26,68.18,64.23,60.71,54.15,34.65,33.75,41.75,34.99,52.07,56.62,52.43,56.54,70.69,17.47
David Michaud,BullDawg,Orthodox,193,41.17,66.19,42.79,60.23,54.1,2.92,23.26,38.64,11,3,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,"['lightweight', 'welterweight']",lightweight,1988/11/10,71.88,59.47,72.62,60.8,62.74,53.94,44.81,36.99,47.63,37.8,71.64,62.97,62.93,56.53,58.5,28.07
Shane Roller,,Orthodox,194,41.04,63.56,34.46,62.33,47.52,5.86,58.14,25.9,11,7,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,['lightweight'],lightweight,1979/07/14,60.17,67.09,62.3,64.68,62.94,60.22,38.18,34.14,34.17,33.61,53.78,63.62,81.79,57.11,46.8,13.14
Fabricio Camoes,Morango,Orthodox,195,40.84,59.58,31.12,60.82,45.45,3.04,93.02,15.15,14,9,1,1,5.0,0.0,0.0,6,0,Unranked,Unranked,['lightweight'],lightweight,1978/12/23,54.44,63.02,61.63,59.22,62.58,63.47,35.48,32.58,31.96,29.93,44.67,62.5,78.35,66.73,35.7,11.07
Valmir Lazaro,Bidu,Orthodox,196,40.82,69.25,26.45,59.07,69.93,2.92,23.26,16.96,15,5,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['lightweight'],lightweight,1985/08/15,81.22,73.79,63.96,58.03,73.29,60.38,24.94,23.61,27.16,23.04,85.52,56.62,52.43,56.54,70.69,60.53
