name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Albert Duraev,,Orthodox,195,38.89,67.63,30.35,56.59,53.65,6.37,23.26,22.37,16,5,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['middleweight'],middleweight,1989/01/05,73.12,68.25,66.94,62.21,65.18,58.15,31.44,30.67,28.21,28.85,62.83,58.07,58.44,53.83,56.01,28.44
Ateba Gautier,The Silent Assassin,Switch,196,38.88,84.65,0.0,0.0,91.35,3.12,93.02,0.0,7,1,0,1,,,,1,0,Unranked,Unranked,['middleweight'],middleweight,2002/04/10,100.0,65.73,96.25,70.59,69.76,75.2,0.0,0.0,0.0,0.0,85.61,44.77,,44.94,57.0,100.0
Tom Watson,Kong,Orthodox,197,38.79,74.54,10.25,56.32,57.17,6.51,58.14,10.23,17,9,0,2,5.0,0.0,0.0,7,0,Unranked,Unranked,['middleweight'],middleweight,1982/07/13,80.93,81.27,69.75,66.21,63.45,53.16,9.39,11.06,9.06,10.9,58.79,53.46,50.09,53.66,68.06,53.28
Jorge Santiago,The Sandman,Orthodox,198,38.69,64.91,18.44,59.08,44.54,3.35,93.02,6.72,25,12,0,1,5.0,0.0,0.0,6,0,Unranked,Unranked,"['middleweight', 'welterweight']",middleweight,1980/10/09,60.17,72.32,60.72,66.42,58.19,56.32,17.34,18.06,19.07,17.8,53.11,53.49,61.02,53.7,68.11,10.54
Marcelo Guimaraes,Magrao,Orthodox,199,38.64,75.01,28.14,56.32,47.75,6.37,23.26,27.6,9,2,1,2,2.0,0.0,0.0,4,0,Unranked,Unranked,"['middleweight', 'welterweight']",middleweight,1983/06/25,91.09,64.35,80.65,63.95,71.05,51.17,31.51,35.63,24.62,29.81,38.87,53.46,50.09,53.66,68.06,29.92
Rory Singer,Outburst,Orthodox,200,38.46,66.0,13.49,63.45,54.94,6.37,58.14,4.55,11,9,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['middleweight'],middleweight,1976/05/28,69.33,66.08,66.14,62.44,67.97,61.81,12.44,12.86,13.54,12.65,61.7,58.84,61.98,63.8,69.18,28.29
Pete Sell,Drago,Orthodox,201,38.33,69.32,20.01,64.46,42.06,6.51,58.14,9.95,10,7,0,2,5.0,0.0,0.0,7,0,Unranked,Unranked,"['welterweight', 'middleweight']",middleweight,1982/08/05,69.64,70.9,69.13,67.61,55.2,50.45,19.44,21.22,18.9,19.96,51.92,62.89,62.91,63.35,68.69,10.67
Armen Petrosyan,Superman,Orthodox,202,37.3,79.6,16.62,51.37,49.4,9.63,23.26,5.08,9,5,0,3,4.0,0.0,0.0,7,0,Unranked,Unranked,['middleweight'],middleweight,1990/11/03,100.0,74.52,81.12,62.66,60.57,56.22,15.15,16.07,18.21,16.47,53.12,54.7,51.25,54.91,44.62,27.69
Jamie Pickett,The Night Wolf,Orthodox,203,37.04,71.65,29.55,51.72,43.53,6.6,23.26,8.3,13,11,0,2,7.0,0.0,0.0,9,0,Unranked,Unranked,"['middleweight', 'catch weight']",middleweight,1988/08/29,70.08,74.57,74.35,67.59,54.17,50.38,28.19,29.25,30.24,27.76,58.96,54.7,52.65,54.91,44.62,10.61
Joseph Gigliotti,Capo,Orthodox,204,36.55,62.12,48.0,56.6,41.32,0.05,0.0,5.73,7,2,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['middleweight'],middleweight,1993/08/13,55.89,62.83,66.75,63.02,49.47,53.72,46.48,39.69,68.8,39.3,51.69,54.05,61.65,54.25,56.45,10.4
