name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Kai Asakura,,Orthodox,118,20.13,67.92,0.19,0.0,35.51,6.67,0.0,2.56,21,5,0,0,1.0,0.0,0.0,1,0,Unranked,14.0,['flyweight'],flyweight,1993/10/31,60.8,56.52,93.41,60.95,31.41,46.65,0.18,0.19,0.16,0.19,53.25,44.01,,44.11,46.43,10.72
Richie Vaculik,Vas,Orthodox,119,19.79,0.0,40.04,66.71,0.0,3.1,23.26,23.82,10,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['flyweight'],flyweight,1983/06/19,53.27,39.24,,43.57,,46.39,46.68,39.62,45.17,38.0,30.73,69.09,68.31,56.53,72.91,10.0
Ashkan Mokhtarian,The Assassin,Southpaw,120,19.71,59.38,11.55,0.0,35.97,0.04,0.0,13.42,13,3,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1985/09/15,53.57,59.18,66.47,58.3,38.38,52.97,11.61,12.04,11.48,11.95,41.78,44.01,,44.11,56.89,10.75
Carlos Mota,Tizil,Orthodox,121,19.09,54.93,0.08,0.0,51.0,0.0,0.0,1.96,8,2,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,1995/04/15,42.29,54.57,64.02,58.85,55.69,74.03,0.08,0.08,0.07,0.08,51.94,44.01,,44.11,56.89,22.34
Ulysses Gomez,Useless,Orthodox,122,18.69,52.24,1.05,0.0,44.8,4.49,0.0,2.76,9,5,0,0,2.0,0.0,0.0,2,0,Unranked,10.0,['flyweight'],flyweight,1983/05/25,57.78,59.62,36.72,54.85,80.1,58.89,1.11,1.27,0.97,1.21,28.41,44.01,,44.11,56.89,11.81
Lone'er Kavanagh,,Orthodox,123,18.5,0.0,35.12,60.28,0.0,5.97,23.26,34.93,9,0,0,2,,,,2,0,Unranked,Unranked,['flyweight'],flyweight,1999/06/09,53.57,39.24,,43.57,,50.89,33.08,29.23,38.17,29.94,45.19,57.43,51.9,57.56,74.24,100.0
Jerome Rivera,Renegade,Southpaw,124,18.23,57.98,1.11,0.0,41.77,0.13,0.0,2.98,10,6,0,0,4.0,0.0,0.0,4,0,Unranked,Unranked,"['flyweight', 'featherweight', 'bantamweight']",flyweight,1995/04/22,63.56,63.51,49.04,55.81,49.77,61.02,1.07,1.21,0.94,1.18,45.46,44.01,,44.11,46.43,10.82
Lucas Rocha,Fenomeno,Orthodox,125,17.3,59.59,0.0,0.0,36.52,0.0,0.0,0.0,17,2,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,2000/08/12,54.84,55.47,68.94,59.11,32.89,47.09,0.0,0.0,0.0,0.0,55.34,44.01,,44.11,46.43,10.76
Shane Howell,,Orthodox,126,15.6,51.56,0.11,0.0,34.91,0.04,0.0,1.33,13,10,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['flyweight'],flyweight,1983/11/28,45.67,54.9,48.63,57.05,35.83,59.03,0.11,0.12,0.1,0.12,34.37,44.01,,44.11,46.43,10.41
Nyamjargal Tumendemberel,Art of Knockout,Orthodox,127,14.9,0.0,25.39,71.67,0.0,0.0,0.0,2.67,8,1,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,1998/03/22,49.01,39.24,,48.79,,51.76,29.13,23.05,26.43,22.79,25.55,61.49,93.91,57.33,73.94,20.0
Kiru Sahota,,Orthodox,128,12.4,0.0,19.43,62.51,0.0,0.0,0.0,0.0,12,3,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,1995/05/28,56.0,39.24,,43.57,,56.13,19.28,17.99,21.6,18.2,20.08,57.45,60.74,57.58,74.27,10.0
Bentley Syler,Bolivia,Orthodox,129,7.84,0.0,0.0,60.28,0.0,0.0,0.0,0.0,5,1,0,0,1.0,0.0,0.0,1,0,Unranked,Unranked,['flyweight'],flyweight,1982/12/22,35.11,39.24,,43.57,,62.24,0.0,0.0,0.0,0.0,0.0,57.43,51.9,57.56,74.24,10.0
