name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Darian Weeks,,Orthodox,242,35.67,76.79,24.23,58.28,49.55,0.09,0.0,18.13,5,3,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1993/11/23,86.77,73.97,83.04,63.38,54.7,48.2,24.75,22.93,21.7,21.32,73.32,55.65,52.42,55.67,69.39,21.98
Emil Meek,Valhalla,Switch,243,35.31,67.33,15.7,62.7,51.69,2.99,23.26,14.85,9,5,1,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1988/08/20,67.17,73.63,66.65,61.86,43.52,63.11,14.17,15.27,16.68,16.11,54.35,59.25,67.18,55.36,69.0,45.79
Kuniyoshi Hironaka,,Orthodox,243,35.31,67.27,26.12,61.17,40.08,2.99,23.26,23.42,23,9,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1976/06/17,64.11,65.96,69.74,69.28,54.48,54.46,28.94,28.05,25.69,26.56,41.0,59.23,61.14,55.34,68.97,10.38
Bassil Hafez,The Habibi,Orthodox,245,35.27,69.64,23.63,58.28,42.69,2.95,23.26,18.4,9,4,1,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1992/01/31,77.63,73.82,65.35,61.76,46.28,42.77,26.54,24.7,21.53,22.26,55.19,55.65,52.42,55.67,69.39,26.51
Sabah Homasi,,Orthodox,246,35.2,75.68,31.87,58.28,38.75,0.09,0.0,5.15,11,8,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1988/10/19,92.51,65.46,80.47,64.27,50.62,33.78,36.9,27.98,33.87,27.2,59.63,55.65,52.42,55.67,69.39,10.97
Anthony Ivy,Aquaman,Orthodox,247,35.09,67.52,33.22,58.28,44.66,0.04,0.0,19.88,8,4,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1990/01/23,68.99,65.05,72.34,63.69,52.21,45.95,43.61,30.39,25.77,27.0,69.99,55.65,52.42,55.67,69.39,10.49
Lance Benoist,,Southpaw,248,34.97,77.31,26.38,0.0,68.51,5.85,23.26,32.68,7,2,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['welterweight'],welterweight,1988/08/26,78.65,79.91,82.27,68.41,67.31,67.18,26.37,25.86,25.4,26.84,65.16,44.96,,44.98,56.06,74.39
Dave Strasser,,Orthodox,249,34.84,69.69,16.71,55.84,50.51,2.91,23.26,16.92,25,8,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['welterweight'],welterweight,1969/07/13,74.84,62.46,76.98,64.48,62.88,64.8,16.57,16.48,18.0,16.81,46.78,56.22,52.95,56.24,57.94,27.58
Bobby Nash,,Orthodox,250,34.74,69.06,25.65,65.59,45.09,0.09,0.0,15.22,8,4,0,0,3.0,0.0,0.0,3,0,Unranked,Unranked,['welterweight'],welterweight,1990/03/26,77.14,64.0,65.93,69.16,51.67,49.05,27.55,22.53,23.55,22.34,69.26,62.83,75.82,55.08,68.64,10.38
John Alessio,The Natural,Orthodox,251,34.63,65.97,25.01,60.43,44.13,6.61,0.0,8.84,35,17,0,0,5.0,0.0,0.0,5,0,Unranked,Unranked,"['lightweight', 'welterweight']",welterweight,1979/07/05,64.0,70.23,67.24,62.41,54.07,54.63,26.27,23.36,25.02,22.79,57.51,56.22,71.3,56.25,57.95,10.3
