name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufcnocon,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Gaston Bolanos,The Dreamkiller,Orthodox,117,41.43,69.7,45.49,54.97,48.35,6.37,23.26,21.22,8,5,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1992/09/14,69.93,66.63,80.84,61.39,51.35,64.56,38.93,38.64,70.08,40.37,49.73,54.82,54.53,55.22,55.31,27.77
Nick Denis,The Ninja of Love,Orthodox,118,41.28,80.32,53.31,0.0,43.79,3.17,93.02,14.61,11,3,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1983/10/11,100.0,60.92,89.11,68.96,33.91,46.22,55.95,40.63,74.31,40.24,66.86,44.68,,45.01,45.08,28.17
Dustin Kimura,The Diamond,Orthodox,119,40.94,50.59,21.33,71.64,55.04,6.42,93.02,9.71,11,3,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/05/21,47.53,64.82,33.82,56.18,56.91,60.15,20.86,20.8,23.48,19.9,57.45,63.03,83.01,82.76,57.76,45.64
Serhiy Sidey,,Switch,120,40.87,66.67,21.79,63.94,70.83,6.32,23.26,24.77,12,2,0,2,1.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/07/04,79.94,61.96,64.25,60.53,69.22,64.8,24.17,23.91,22.16,21.49,49.46,68.9,66.82,53.26,66.79,99.84
Kleydson Rodrigues,KR,Orthodox,121,40.86,78.3,14.33,57.5,49.52,3.26,93.02,14.61,8,4,0,1,3.0,0.0,0.0,4,0,Unranked,Unranked,"['flyweight', 'bantamweight']",bantamweight,1995/10/22,84.17,63.85,95.93,69.25,54.7,64.68,13.71,14.42,14.22,13.95,53.93,59.78,60.75,54.69,54.78,24.77
Reginaldo Vieira,,Orthodox,122,40.67,66.12,26.22,58.9,49.42,21.91,23.26,42.64,13,5,0,1,2.0,0.0,0.0,3,1,Unranked,Unranked,"['ultimate fighter brazil 4 bantamweight tournament', 'bantamweight']",bantamweight,1982/11/26,72.57,66.88,65.12,59.91,64.48,63.05,29.73,27.44,26.29,26.5,43.57,64.69,62.43,54.2,54.28,26.58
Cody Haddon,,Orthodox,123,40.64,84.56,27.19,0.0,95.11,3.12,23.26,20.94,8,1,0,1,,,,1,0,Unranked,Unranked,['bantamweight'],bantamweight,1998/09/08,100.0,69.84,83.52,61.06,86.3,72.06,30.41,23.56,27.46,22.55,83.7,44.68,,45.01,56.45,100.0
Ken Stone,,Southpaw,124,40.44,70.18,23.09,65.09,48.85,6.37,58.14,26.28,11,4,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1982/10/08,76.53,59.4,82.29,62.49,48.8,61.43,23.1,21.44,23.94,22.33,57.4,60.87,61.86,67.8,69.84,27.78
Carlos Vera,Pequeno,Orthodox,125,40.41,70.93,0.31,68.76,63.51,3.17,93.02,1.61,12,4,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/11/05,56.1,59.96,97.37,70.29,57.47,71.3,0.31,0.34,0.28,0.33,48.77,65.9,72.67,67.22,69.25,76.5
Chad Anheliger,The Monster,Orthodox,126,40.35,70.98,20.7,58.06,55.51,6.42,58.14,25.4,13,8,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1986/12/01,68.85,64.44,76.68,73.94,58.99,66.6,19.82,21.07,21.86,21.42,51.33,64.68,59.09,54.19,54.28,45.12
Ian Loveland,The Barn Owl,Orthodox,127,39.64,67.02,24.59,58.61,67.86,3.21,23.26,42.02,18,10,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,"['featherweight', 'bantamweight']",bantamweight,1983/09/07,64.06,65.21,66.09,72.72,76.08,71.19,23.18,22.86,25.79,23.76,67.23,54.17,57.26,54.57,68.44,56.94
Cristian Quinonez,Problema,Orthodox,128,39.22,66.26,23.17,52.18,45.5,3.21,93.02,14.95,18,5,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/04/26,77.89,59.72,66.36,61.06,56.06,49.54,22.73,21.02,23.91,20.18,65.62,55.56,55.27,55.97,41.92,10.78
Jean Matsumoto,,Orthodox,129,39.13,70.72,38.19,0.0,69.68,6.32,58.14,45.48,16,1,0,2,1.0,0.0,0.0,3,0,Unranked,Unranked,"['catch weight', 'bantamweight']",bantamweight,1999/09/09,84.08,74.11,65.67,59.03,54.89,55.81,42.73,36.52,40.54,34.81,68.53,44.68,,54.8,56.45,99.49
Cole Smith,The Cole Train,Orthodox,130,39.06,58.16,32.36,65.07,59.35,3.21,23.26,90.95,7,2,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/04/05,55.06,59.52,57.81,60.25,53.96,72.58,33.21,31.26,32.31,35.47,54.97,68.94,71.23,53.28,66.83,55.88
Elijah Smith,Swift,Orthodox,131,38.73,66.08,41.24,0.0,85.84,3.12,23.26,39.8,8,1,0,1,,,,1,0,Unranked,Unranked,['bantamweight'],bantamweight,2002/09/05,74.59,60.76,67.92,61.05,59.57,69.36,52.51,34.07,45.06,33.32,75.15,44.68,,45.01,56.45,100.0
Aleksandre Topuria,El Conquistador,Orthodox,132,38.65,68.9,26.99,0.0,100.0,3.12,23.26,69.48,6,1,0,1,,,,1,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/01/28,66.1,61.34,85.59,62.57,94.36,78.17,24.21,22.74,29.9,23.37,91.25,44.68,,45.01,56.45,100.0
Trevin Jones,5 Star,Southpaw,133,38.64,64.15,17.31,55.54,48.97,3.35,93.02,29.68,13,10,0,1,4.0,0.0,1.0,6,0,Unranked,Unranked,"['bantamweight', 'catch weight']",bantamweight,1990/08/04,58.25,65.33,60.92,72.1,39.2,55.41,15.92,18.27,15.35,18.28,60.37,54.82,56.81,55.22,55.31,40.9
Johnny Eduardo,,Orthodox,134,38.16,67.76,10.29,51.36,49.91,14.35,69.77,3.31,28,13,0,3,5.0,0.0,0.0,8,0,Unranked,7.0,['bantamweight'],bantamweight,1978/08/03,65.02,71.29,63.35,71.38,67.67,59.12,9.4,10.31,10.21,9.85,56.27,61.37,60.06,56.14,27.87,16.58
Hugo Viana,Wolverine,Orthodox,135,38.03,71.52,8.88,57.76,57.41,9.58,46.51,18.29,8,4,0,3,3.0,0.0,0.0,6,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1982/09/26,65.66,76.12,61.58,82.72,64.8,63.97,8.16,9.68,7.65,9.38,57.09,54.16,53.88,54.56,68.43,43.77
Charalampos Grigoriou,Ferocious,Orthodox,136,37.69,68.6,47.81,54.97,42.59,0.05,0.0,51.53,8,5,0,0,2.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1992/03/31,65.21,59.39,80.97,68.84,43.23,51.14,49.27,37.81,59.55,39.3,65.61,54.82,54.53,55.22,55.31,10.39
Ricky Turcios,,Orthodox,137,37.35,70.1,19.96,56.94,54.97,6.42,23.26,32.07,13,5,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/06/05,81.62,67.35,65.39,66.05,58.4,60.95,19.46,21.31,18.82,20.95,54.79,59.78,58.51,54.69,54.78,45.73
Caolan Loughran,The Don,Orthodox,138,37.2,71.45,40.35,0.0,69.06,6.37,23.26,65.16,10,2,0,2,2.0,0.0,0.0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/05/18,78.3,84.1,65.68,57.72,62.99,54.87,43.54,39.62,35.93,38.67,80.49,44.68,,45.01,56.45,77.88
Randy Costa,The Zohan,Switch,139,37.15,81.06,1.78,52.18,41.39,6.46,93.02,7.48,6,4,0,2,4.0,0.0,0.0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/07/06,99.65,69.41,75.95,79.23,64.61,33.55,1.67,1.84,1.51,1.86,55.74,55.56,55.27,55.97,41.92,11.65
Nick Pace,,Orthodox,140,37.13,57.62,37.42,0.0,62.84,3.21,93.02,65.49,8,3,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/04/17,51.27,65.07,55.12,59.02,66.81,66.37,41.3,34.94,38.97,36.65,60.74,44.68,,54.8,56.45,57.43
Sirwan Kakai,Zohan,Orthodox,141,36.72,68.06,40.58,0.0,73.4,3.17,23.26,49.81,12,5,0,1,1.0,0.0,0.0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/10/03,71.24,67.87,67.01,66.13,78.0,59.1,49.81,36.26,39.25,33.75,78.56,44.68,,45.01,56.45,77.94
Irwin Rivera,The Beast,Southpaw,142,36.26,67.48,13.29,57.76,63.01,3.21,23.26,6.37,10,6,0,1,2.0,0.0,0.0,3,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1989/02/14,69.41,68.5,71.71,60.3,68.6,54.35,13.08,13.91,11.98,11.93,70.13,54.16,53.88,54.56,68.43,58.97
Garrett Armfield,,Orthodox,143,36.24,81.74,30.65,0.0,51.66,6.42,58.14,27.98,10,5,0,2,3.0,0.0,0.0,5,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1996/10/09,87.44,81.84,85.56,72.12,60.52,58.2,28.74,27.9,34.94,29.42,60.59,44.68,,45.01,33.709999999999994,27.33
