name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Brendan Loughnane,177.8,65.77,177.8,17,3,0,,6.7,,6.23,1.5,92.0,30.0,0.0,1.0,0.0,114.0,0.0,0.0,0.0,2.0,Switch,,1989/12/05,['lightweight'],lightweight,[],['Decision - Unanimous'],[],3.0,0,0,1,0,0.0,0.0,1.0,0.0,1.0,0,0,0,Unranked,Unranked
Brendan O'Reilly,170.18,77.11,175.26,6,3,0,47.0,2.77,39.0,1.9,2.22,36.0,43.0,0.6,0.0,0.0,921.0,82.0,173.0,7.0,16.0,Orthodox,Badger,1987/06/24,"['welterweight', 'lightweight']",lightweight,['Decision - Unanimous'],"['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous']",[3.0],12.0,0,0,4,1,1.0,0.0,2.0,0.0,3.0,0,0,1,Unranked,Unranked
Brian Cobb,180.34,70.31,,20,9,0,0.0,3.68,55.0,0.0,5.81,0.0,50.0,,0.0,0.0,108.0,0.0,13.0,2.0,4.0,Orthodox,,,['lightweight'],lightweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Brian Geraghty,170.18,70.31,,26,18,1,25.0,9.77,36.0,0.47,0.0,50.0,0.0,,0.0,0.0,0.0,1.0,4.0,0.0,0.0,Orthodox,Duke,1980/11/04,['lightweight'],lightweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Brok Weaver,182.88,70.31,185.42,15,6,0,64.0,4.35,46.0,4.78,0.41,66.0,10.0,0.4,0.0,1.0,168.0,14.0,48.0,1.0,6.0,Southpaw,Chata Tuska,1991/12/05,"['catch weight', 'lightweight']",lightweight,['DQ'],"['Submission', 'Submission']",[1.0],9.0,0,0,3,1,0.0,2.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
CJ Keith,182.88,70.31,,8,4,0,50.0,1.82,50.0,0.86,0.0,62.0,0.0,,0.0,0.0,91.0,8.0,16.0,0.0,1.0,Orthodox,,1986/08/09,['lightweight'],lightweight,[],"['Submission', 'KO/TKO']",[],6.0,0,0,2,0,1.0,1.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Cain Carrizosa,172.72,70.31,,10,3,0,42.0,5.8,51.0,2.72,0.0,14.0,0.0,,1.0,0.0,59.0,44.0,104.0,0.0,5.0,Orthodox,The Insane,1986/07/22,['lightweight'],lightweight,[],"['Decision - Unanimous', 'Submission']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Cameron Dollar,180.34,70.31,,11,5,0,38.0,2.94,61.0,5.04,0.0,0.0,0.0,,0.0,0.0,5.0,24.0,63.0,0.0,1.0,Orthodox,,1987/05/12,['lightweight'],lightweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Cameron VanCamp,187.96,70.31,187.96,15,7,1,47.0,6.41,40.0,5.31,0.0,0.0,0.0,,0.0,0.0,0.0,34.0,71.0,0.0,0.0,Switch,Jumpman,1993/04/27,"['lightweight', 'welterweight']",lightweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Caol Uno,170.18,70.31,177.8,33,19,5,49.0,1.9,50.0,1.9099999999999997,1.95,37.0,31.0,0.5,0.0,1.0,2784.0,170.0,295.0,20.0,64.0,Southpaw,Uno Shoten,1975/05/08,['lightweight'],lightweight,"['Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO']","['KO/TKO', 'Decision - Majority', 'Decision - Unanimous', 'KO/TKO', 'Decision - Split', 'KO/TKO', 'Decision - Unanimous']","[3.0, 3.0, 1.0]",34.0,2,0,10,3,3.0,0.0,4.0,0.0,7.0,1,0,2,Unranked,Unranked
Carl Deaton,170.18,70.31,175.26,17,7,0,31.0,1.85,61.0,1.53,0.0,50.0,0.0,,0.0,0.0,0.0,38.0,120.0,0.0,2.0,Orthodox,The Anishinaabe Kid,1989/11/24,['lightweight'],lightweight,[],"['Decision - Unanimous', 'Submission']",[],6.0,0,0,2,0,0.0,1.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
