name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Mark De La Rosa,167.64000000000001,61.23,165.1,11,5,0,35.0,5.0,48.0,3.13,0.54,40.0,13.0,0.20000000000000004,0.0,1.0,578.0,125.0,401.0,3.0,22.0,Orthodox,Bumblebee,1994/08/31,"['flyweight', 'bantamweight']",bantamweight,"['Decision - Split', 'Submission']","['KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission']","[3.0, 2.0]",21.0,0,0,7,2,1.0,1.0,3.0,0.0,5.0,0,1,1,Unranked,13.0
Mark Striegl,172.72,65.77,177.8,18,4,0,45.0,4.07,40.0,1.4,0.0,66.0,0.0,,0.0,0.0,82.0,11.0,24.0,0.0,3.0,Southpaw,Mugen,1988/06/23,"['featherweight', 'bantamweight']",bantamweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Marlon Moraes,167.64,61.23,170.18,23,10,1,40.0,4.53,54.0,3.37,0.87,46.0,41.0,0.3,5.0,0.0,364.0,163.0,432.0,5.0,12.0,Orthodox,Magic,1988/04/26,['bantamweight'],bantamweight,"['Decision - Split', 'KO/TKO', 'Submission', 'KO/TKO', 'Decision - Split']","['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Split']","[3.0, 1.0, 1.0, 1.0, 3.0]",41.0,1,0,11,5,5.0,0.0,1.0,0.0,6.0,2,1,2,Unranked,1.0
Marlon Vera,172.72,61.23,177.80000000000004,23,10,1,49.0,5.37,50.0,4.27,0.51,72.0,39.0,0.8,12.0,11.0,1830.0,757.0,1587.0,11.0,28.0,Switch,Chito,1992/12/02,"['bantamweight', 'featherweight', 'catch weight']",bantamweight,"['Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Submission', 'Submission', 'KO/TKO']","['Decision - Unanimous', 'Decision - Split', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","[3.0, 4.0, 3.0, 3.0, 2.0, 1.0, 2.0, 3.0, 2.0, 5.0, 3.0, 1.0, 2.0, 1.0, 3.0]",80.0,1,0,24,15,0.0,0.0,9.0,0.0,9.0,7,4,4,Unranked,3.0
Martin Day,177.8,65.77,185.42,8,6,0,45.0,3.79,53.0,3.97,0.72,65.0,60.0,0.5,2.0,0.0,251.0,108.0,212.0,2.0,3.0,Orthodox,The Spartan,1988/11/10,"['bantamweight', 'featherweight']",bantamweight,[],"['Submission', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split']",[],12.0,0,0,4,0,1.0,1.0,2.0,0.0,4.0,0,0,0,Unranked,Unranked
Masanori Kanehara,170.18,61.23,170.18,26,12,5,49.0,1.63,62.0,1.88,1.4400000000000002,63.0,50.0,,0.0,0.0,1084.0,71.0,130.0,4.0,6.0,Orthodox,,1982/11/19,['bantamweight'],bantamweight,['Decision - Unanimous'],"['Submission', 'Decision - Split']",[3.0],9.0,0,0,3,1,0.0,1.0,1.0,0.0,2.0,0,0,1,Unranked,15.0
Matt Hobar,177.80000000000004,61.23,177.80000000000004,9,3,0,42.0,4.27,52.0,3.23,3.66,50.0,44.0,,1.0,0.0,1051.0,106.0,251.0,8.0,18.0,Southpaw,The Crowbar,1987/01/07,['bantamweight'],bantamweight,['Decision - Unanimous'],"['Decision - Unanimous', 'KO/TKO']",[3.0],9.0,0,0,3,1,1.0,0.0,1.0,0.0,2.0,0,0,1,Unranked,Unranked
Matthew Lopez,170.18,61.23,175.26,10,4,0,50.0,3.73,55.0,3.1300000000000003,3.32,71.0,60.0,1.3,0.0,2.0,1028.0,190.0,380.0,15.0,25.0,Southpaw,,1987/01/21,['bantamweight'],bantamweight,"['KO/TKO', 'Decision - Unanimous']","['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission']","[1.0, 3.0]",18.0,0,0,6,2,2.0,1.0,1.0,0.0,4.0,1,0,1,Unranked,13.0
Merab Dvalishvili,167.64,61.23,172.72,20,4,0,42.0,2.48,56.0,4.31,5.84,82.0,35.0,0.3,1.0,5.0,5531.0,570.0,1292.0,97.0,272.0,Orthodox,The Machine,1991/01/10,"['bantamweight', 'catch weight']",bantamweight,"['Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Submission', 'Decision - Split']","[3.0, 5.0, 3.0, 3.0, 3.0, 3.0, 5.0, 5.0, 3.0, 2.0, 3.0, 3.0, 3.0]",53.0,3,3,15,13,0.0,1.0,1.0,0.0,2.0,1,1,11,2.0,0.0
Michael McDonald,175.26,61.22999999999999,177.8,17,4,0,42.0,2.76,57.0,2.69,1.09,52.0,66.0,1.4,5.0,5.0,422.0,102.0,265.0,6.0,9.0,Orthodox,Mayday,1991/01/15,"['bantamweight', 'interim bantamweight']",bantamweight,"['Submission', 'KO/TKO', 'Decision - Split', 'Decision - Unanimous', 'Submission', 'KO/TKO']","['KO/TKO', 'Submission', 'Submission']","[2.0, 1.0, 3.0, 3.0, 2.0, 1.0]",31.0,1,0,9,6,1.0,2.0,0.0,0.0,3.0,2,2,2,Unranked,2.0
