name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Chris Curtis,177.8,77.11,190.5,32,12,0,50.0,6.19,54.0,5.98,0.0,82.0,0.0,0.0,3.0,0.0,180.0,339.0,708.0,0.0,1.0,Orthodox,Action-Man,1987/07/15,"['middleweight', 'welterweight']",middleweight,"['Decision - Split', 'KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'KO/TKO', 'KO/TKO']","['KO/TKO', 'Decision - Unanimous', 'Decision - Split', 'Could Not Continue', 'Decision - Unanimous']","[3.0, 2.0, 3.0, 3.0, 2.0, 1.0]",35.0,0,0,11,6,1.0,0.0,3.0,0.0,5.0,3,0,3,Unranked,13.0
Chris Leben,180.34,83.91,185.42,22,11,0,42.0,2.87,52.0,2.87,1.14,53.0,41.0,0.8,5.0,10.0,3152.0,134.0,394.0,17.0,37.0,Southpaw,The Crippler,1980/07/21,['middleweight'],middleweight,"['KO/TKO', 'Submission', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Submission', 'Decision - Split', 'KO/TKO', 'KO/TKO']","[""TKO - Doctor's Stoppage"", 'Decision - Split', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Submission', 'Decision - Unanimous', 'Decision - Unanimous', 'Submission', 'KO/TKO']","[2.0, 3.0, 3.0, 1.0, 3.0, 2.0, 3.0, 1.0, 1.0, 3.0, 1.0, 1.0]",68.0,0,0,22,12,4.0,2.0,4.0,0.0,10.0,7,2,3,Unranked,Unranked
Chris Liguori,175.26,83.91,,15,10,0,33.0,1.44,0.0,0.29,0.0,50.0,0.0,,0.0,0.0,8.0,1.0,3.0,0.0,0.0,Orthodox,,,['middleweight'],middleweight,[],['Submission'],[],3.0,0,0,1,0,0.0,1.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Chris Price,187.96,83.91,,19,4,0,66.0,2.59,48.0,1.44,0.0,33.0,0.0,,0.0,0.0,39.0,10.0,15.0,0.0,0.0,Southpaw,The Exorcist,1982/11/09,['middleweight'],middleweight,[],"['Submission', 'KO/TKO']",[],6.0,0,0,2,0,1.0,1.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
Chris Sanford,180.34,83.91,,5,1,0,50.0,3.22,17.0,0.23,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,Orthodox,,1968/03/12,['middleweight'],middleweight,[],['KO/TKO'],[],3.0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,Unranked,Unranked
Chris Weidman,187.96,83.91,198.12,16,8,0,45.0,3.37,51.0,3.11,3.2700000000000005,72.0,42.0,0.8,5.0,5.0,3897.0,190.0,438.0,44.0,104.0,Orthodox,The All-American,1984/06/17,"['catch weight', 'middleweight', 'light heavyweight']",middleweight,"['Decision - Unanimous', 'Submission', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Unanimous', 'Submission', 'Submission', 'Decision - Unanimous']","['KO/TKO', 'Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']","[3.0, 3.0, 1.0, 5.0, 2.0, 3.0, 2.0, 2.0, 3.0, 1.0, 1.0, 3.0]",76.0,5,4,20,12,7.0,0.0,1.0,0.0,8.0,4,3,5,2.0,0.0
Christian Leroy Duncan,187.96,83.91,200.66,11,2,0,59.0,3.01,51.0,4.75,0.24,72.0,11.0,0.0,1.0,0.0,974.0,59.0,122.0,1.0,9.0,Switch,CLD,1995/07/24,['middleweight'],middleweight,"['Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'KO/TKO']","['Decision - Unanimous', 'Decision - Unanimous']","[3.0, 2.0, 2.0, 1.0]",18.0,0,0,6,4,0.0,0.0,2.0,0.0,2.0,3,0,1,Unranked,Unranked
Claudio Ribeiro,185.42,83.91,195.58,11,5,0,51.0,4.9,30.0,3.59,0.56,66.0,50.0,0.0,1.0,0.0,282.0,73.0,148.0,1.0,2.0,Orthodox,,1992/07/17,['middleweight'],middleweight,['KO/TKO'],"['KO/TKO', 'KO/TKO', 'KO/TKO']",[2.0],12.0,0,0,4,1,3.0,0.0,0.0,0.0,3.0,1,0,0,Unranked,Unranked
Clifford Starks,182.88,83.91,198.12,13,3,0,33.0,2.49,58.0,1.9400000000000002,1.9400000000000002,60.0,100.0,0.0,0.0,0.0,531.0,42.0,118.0,3.0,3.0,Orthodox,,1981/04/25,['middleweight'],middleweight,['Decision - Unanimous'],"['KO/TKO', 'Submission']",[3.0],9.0,0,0,3,1,1.0,1.0,0.0,0.0,2.0,0,0,1,Unranked,Unranked
Clint Hester,187.96,92.99,195.58,11,6,0,42.0,3.44,56.0,3.36,1.02,60.0,35.0,0.0,3.0,0.0,772.0,136.0,301.0,5.0,14.0,Orthodox,Headbussa,1986/11/21,"['middleweight', 'light heavyweight']",middleweight,"['Decision - Split', 'Decision - Unanimous', ""TKO - Doctor's Stoppage"", 'KO/TKO']","['Submission', 'KO/TKO', 'KO/TKO']","[3.0, 3.0, 2.0, 3.0]",21.0,0,0,7,4,2.0,1.0,0.0,0.0,3.0,2,0,2,Unranked,Unranked
