name,height,weight,reach,wins,losses,draws,str_acc,sapm,str_def,splm,td_avg,td_def,td_avg_acc,sub_avg,kd,sub_att,ctrl,sig_str_landed,sig_str_atmpted,td_landed,td_atmpted,stance,nick_name,dob,division,main_div,method,method_losses,finish_round,total_rounds,title_fight,won_title_fight,total_ufc_fights,won_fight,ko_losses,totsub_losses,totdec_losses,nocon_losses,loss_fights,ko_t,totsub,totdec,pfp_rank,div_rank
Carlos Leal,180.34,77.11,187.96,22,6,0,50.0,7.73,53.0,9.65,0.78,90.0,25.0,,0.0,0.0,16.0,186.0,366.0,1.0,4.0,Orthodox,The Lion,1994/05/04,['welterweight'],welterweight,['KO/TKO'],['Decision - Unanimous'],[1.0],6.0,0,0,2,1,0.0,0.0,1.0,0.0,1.0,1,0,0,Unranked,Unranked
Carlos Newton,175.26,77.11,,16,14,0,41.0,1.55,44.0,0.65,2.47,43.0,70.0,0.9,2.0,5.0,705.0,29.0,57.0,10.0,17.0,Orthodox,The Ronin,1976/08/17,"['welterweight', 'middleweight', '17 middleweight tournament']",welterweight,"['Submission', 'Submission', 'Submission']","['Decision - Unanimous', 'KO/TKO', 'KO/TKO', 'Decision - Split']","[1.0, 3.0, 1.0]",23.0,4,1,7,3,2.0,0.0,2.0,0.0,4.0,0,3,0,Unranked,Unranked
Carlos Prates,185.42,77.11,198.12,21,7,0,54.0,4.79,48.0,3.6,0.25,83.0,100.0,,7.0,0.0,184.0,182.0,342.0,1.0,1.0,Switch,The Nightmare,1993/08/17,['welterweight'],welterweight,"['KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO']",['Decision - Unanimous'],"[1.0, 2.0, 1.0, 2.0]",19.0,0,0,5,4,0.0,0.0,1.0,0.0,1.0,4,0,0,Unranked,12.0
Carlston Harris,182.87999999999997,77.11,193.04,19,7,0,43.0,3.46,54.0,3.79,1.4599999999999997,55.0,22.0,0.6,2.0,0.0,725.0,131.0,331.0,5.0,22.0,Orthodox,Mocambique,1987/07/09,['welterweight'],welterweight,"['Decision - Unanimous', 'Submission', 'KO/TKO', 'Submission']","['KO/TKO', 'KO/TKO', 'KO/TKO']","[3.0, 3.0, 1.0, 1.0]",21.0,0,0,7,4,3.0,0.0,0.0,0.0,3.0,1,2,1,Unranked,Unranked
Cathal Pendred,185.42,77.11,190.5,17,4,1,44.0,3.01,55.0,2.49,2.46,83.0,23.0,0.4,0.0,2.0,996.0,17.0,41.0,12.0,51.0,Orthodox,The Punisher,1987/09/02,"['welterweight', 'middleweight']",welterweight,"['Decision - Unanimous', 'Decision - Split', 'Submission', 'Decision - Unanimous']","['KO/TKO', 'Decision - Split']","[3.0, 3.0, 2.0, 3.0]",18.0,0,0,6,4,1.0,0.0,1.0,0.0,2.0,0,1,3,Unranked,Unranked
Chad Reiner,180.34,77.11,,33,18,0,20.0,1.97,46.0,0.53,0.99,25.0,33.0,,0.0,0.0,87.0,8.0,39.0,1.0,3.0,Orthodox,The Grinder,1981/06/29,['welterweight'],welterweight,[],"['KO/TKO', 'Decision - Unanimous']",[],6.0,0,0,2,0,1.0,0.0,1.0,0.0,2.0,0,0,0,Unranked,Unranked
Chance Rencountre,187.96,77.11,190.5,14,4,0,20.0,3.62,49.0,1.1,1.35,16.0,26.0,,0.0,0.0,818.0,49.0,239.0,4.0,15.0,Southpaw,Black Eagle,1986/12/31,['welterweight'],welterweight,"['Decision - Unanimous', 'Submission']","['KO/TKO', 'Decision - Unanimous']","[3.0, 1.0]",12.0,0,0,4,2,1.0,0.0,1.0,0.0,2.0,0,1,1,Unranked,Unranked
Charles Radtke,175.26,77.11,182.88,10,5,0,49.0,3.66,52.0,3.11,0.49000000000000005,100.0,12.0,0.0,2.0,0.0,612.0,82.0,168.0,1.0,8.0,Orthodox,Chuck Buffalo,1990/07/09,['welterweight'],welterweight,"['KO/TKO', 'KO/TKO', 'Decision - Unanimous']","['KO/TKO', 'KO/TKO']","[1.0, 1.0, 3.0]",15.0,0,0,5,3,2.0,0.0,0.0,0.0,2.0,2,0,1,Unranked,Unranked
Charlie Brenneman,177.8,70.31,177.8,19,8,0,56.0,1.55,46.0,1.5199999999999998,4.23,72.0,42.0,0.0,0.0,0.0,3152.0,30.0,79.0,24.0,57.0,Orthodox,The Spaniard,1981/02/09,"['lightweight', 'welterweight']",welterweight,"['Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous', 'Decision - Unanimous']","['Submission', 'Submission', 'KO/TKO', 'KO/TKO', 'Submission', 'KO/TKO', 'KO/TKO']","[3.0, 3.0, 3.0, 3.0]",33.0,0,0,11,4,4.0,3.0,0.0,0.0,7.0,0,0,4,Unranked,Unranked
Charlie Ward,180.34,77.11,,3,3,0,,7.21,,1.64,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,Orthodox,,1980/12/17,['welterweight'],welterweight,[],"['KO/TKO', 'KO/TKO']",[],6.0,0,0,2,0,2.0,0.0,0.0,0.0,2.0,0,0,0,Unranked,Unranked
