name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Gegard Mousasi,,Orthodox,34,59.72,77.37,47.47,62.0,78.15,37.91,69.77,13.53,42,6,2,42,6,2,12,0,Unranked,4.0,"['middleweight', 'light heavyweight']",middleweight,1985/08/01,48.32,22.61,50.0,13.25,79.08,89.55,18.02,12.59,59.99,28.28,59.01,6.72,21.6,13.86,80.0,64.81
Andre Petroski,,Switch,35,59.45,72.82,67.71,70.21,73.77,25.39,49.42,32.62,13,5,0,13,5,0,11,0,Unranked,Unranked,['middleweight'],middleweight,1991/06/12,36.33,17.5,49.01,6.63,60.46,76.24,36.37,38.52,51.0,51.15,86.01,20.15,25.53,27.73,100.0,61.61
Reinier de Ridder,RdR,Southpaw,36,59.4,78.42,45.37,68.54,87.51,18.79,93.02,21.39,20,2,0,20,2,0,3,0,Unranked,5.0,['middleweight'],middleweight,1990/09/07,41.88,4.69,60.0,13.25,51.16,80.91,53.71,13.33,38.01,9.15,66.01,0.0,27.49,27.73,100.0,100.0
Aaron Simpson,A-Train,Orthodox,37,58.81,83.26,70.3,58.72,71.11,22.29,43.19,34.47,12,5,0,12,5,0,11,0,Unranked,Unranked,"['welterweight', 'middleweight']",middleweight,1974/07/20,46.39,11.79,52.0,39.77,65.12,78.14,42.83,68.14,34.0,54.06,83.02,6.72,9.82,0.0,100.0,53.53
Kevin Holland,Trailblazer,Orthodox,38,58.78,86.55,40.66,77.15,65.55,32.82,74.42,8.45,28,13,0,28,13,0,26,0,Unranked,10.0,"['middleweight', 'welterweight', 'catch weight']",middleweight,1992/11/05,54.64,42.79,50.0,39.77,58.13,73.13,9.17,25.91,38.98,34.55,55.01,40.29,11.78,83.18,40.01,50.86
Joaquin Buckley,New Mansa,Southpaw,39,58.76,87.76,41.43,56.66,72.48,37.51,74.0,8.95,21,7,0,21,7,0,16,0,Unranked,6.0,"['welterweight', 'middleweight']",middleweight,1994/04/27,49.99,72.09,36.01,59.65,68.6,74.68,17.45,31.11,44.99,22.13,72.02,0.0,1.96,0.0,100.0,57.64
Jared Cannonier,The Killa Gorilla,Switch,40,58.61,89.57,32.68,56.32,66.59,48.94,74.63,6.41,18,8,0,18,8,0,19,0,Unranked,2.0,"['middleweight', 'light heavyweight', 'heavyweight']",middleweight,1984/03/16,59.28,49.86,50.0,46.4,65.12,61.2,5.21,13.33,43.99,22.22,64.01,0.0,0.0,0.0,100.0,50.29
Nassourdine Imavov,The Sniper,Orthodox,41,58.43,82.91,34.27,62.13,84.16,39.42,58.14,14.6,16,4,0,16,4,0,11,0,Unranked,1.0,"['middleweight', 'light heavyweight']",middleweight,1995/03/01,57.35,47.85,55.0,13.25,67.45,71.83,9.63,20.73,32.0,28.45,78.0,20.15,21.6,0.0,100.0,83.83
Ricardo Almeida,Big Dog,Orthodox,42,57.97,68.95,70.6,71.75,68.94,19.17,58.14,34.36,13,5,0,13,5,0,11,0,Unranked,Unranked,"['welterweight', 'middleweight', 'light heavyweight']",middleweight,1976/11/29,26.03,12.28,49.01,0.0,70.93,89.64,42.38,62.22,38.01,53.88,31.0,26.85,23.57,41.59,80.0,53.53
JunYong Park,The Iron Turtle,Orthodox,43,57.82,78.5,54.63,70.05,72.36,28.56,46.51,28.04,19,6,0,19,6,0,12,0,Unranked,Unranked,['middleweight'],middleweight,1991/02/27,59.14,32.26,50.0,6.63,61.64,68.98,21.18,31.11,41.99,47.97,57.01,20.15,17.67,41.59,80.0,64.81
Paulo Costa,The Eraser,Orthodox,43,57.82,91.33,35.03,56.32,67.47,40.15,76.74,4.05,14,4,0,14,4,0,10,0,Unranked,2.0,"['middleweight', 'light heavyweight']",middleweight,1991/04/21,80.16,48.13,58.0,26.52,56.98,43.33,4.08,2.95,74.99,6.93,80.0,0.0,0.0,0.0,100.0,56.67
Mark Munoz,The Filipino Wrecking Machine,Orthodox,45,57.73,75.91,60.16,56.8,62.66,38.05,54.27,17.23,14,6,0,14,6,0,15,0,Unranked,5.0,"['middleweight', 'light heavyweight']",middleweight,1978/02/09,40.21,18.14,51.01,13.25,66.28,80.47,35.92,68.89,28.99,43.38,57.01,33.57,11.78,0.0,59.99,38.52
