name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Maia Stevenson,,Orthodox,90,24.89,0.0,80.23,55.7,0.0,0.0,0.0,20.15,6,5,0,6,5,0,1,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1982/03/19,11.71,0.0,,0.0,,73.14,84.09,0.74,100.0,2.31,49.99,0.0,0.0,0.0,79.99,0.0
Jodie Esquibel,,Orthodox,91,24.57,58.57,21.76,0.0,51.18,0.14,0.0,21.34,6,6,0,6,6,0,4,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1986/05/07,49.71,31.63,26.84,0.0,52.5,7.3,16.14,10.37,21.0,9.78,82.99,0.0,,0.0,100.0,11.11
Josefine Knutsson,Thunder,Orthodox,92,22.91,0.0,55.34,58.09,0.0,6.5,25.0,58.04,8,1,0,8,1,0,3,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1996/01/16,51.8,0.0,,0.0,,88.67,34.42,2.96,71.99,19.95,34.99,0.0,0.0,0.0,100.0,70.37
Ericka Almeida,,Orthodox,93,22.57,53.59,22.31,0.0,44.49,0.05,0.0,24.11,7,3,0,7,3,0,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1989/03/05,4.2,3.27,46.34,0.0,30.01,70.03,10.75,2.22,33.0,5.52,37.0,0.0,,0.0,100.0,11.11
Chan-Mi Jeon,,Orthodox,94,19.06,63.19,0.03,0.0,42.62,0.05,0.0,0.23,5,2,0,5,2,0,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1997/08/28,81.67,23.8,26.84,0.0,60.01,1.08,0.0,0.0,0.0,0.05,0.0,0.0,,0.0,100.0,11.11
Stephanie Luciano,Rondinha,Orthodox,95,18.52,0.0,38.65,58.09,0.0,3.26,25.0,16.42,6,2,1,6,2,1,2,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1999/12/16,68.62,0.0,,14.64,,69.26,14.41,1.48,66.0,3.76,79.99,0.0,0.0,0.0,100.0,55.56
Shi Ming,,Orthodox,96,17.78,0.0,11.47,58.09,0.0,3.21,100.0,12.45,17,5,0,17,5,0,1,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1994/11/14,40.39,0.0,,14.64,,71.42,7.97,1.48,16.01,1.43,57.98,0.0,0.0,0.0,100.0,100.0
Cheyanne Vlismas,The Warrior Princess,Switch,97,17.76,0.0,18.95,59.8,0.0,6.55,62.5,5.72,7,3,0,7,3,0,4,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1995/06/25,62.16,0.0,,14.64,,81.83,5.39,0.74,33.0,2.64,65.98,7.15,5.55,0.0,100.0,55.56
Tina Lahdemaki,Jelly Bean,Orthodox,98,16.82,44.77,0.0,0.0,48.67,0.0,0.0,0.0,5,1,0,5,1,0,1,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1988/05/28,17.12,5.69,0.0,0.0,65.0,49.22,0.0,0.0,0.0,0.0,15.99,0.0,,0.0,100.0,11.11
Shauna Bannon,Mama B,Switch,99,15.11,0.0,1.89,68.4,0.0,6.5,62.5,10.11,7,1,0,7,1,0,3,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1993/10/23,59.77,0.0,,0.0,,61.5,0.0,2.96,0.0,3.49,41.99,14.29,22.22,19.99,100.0,70.37
Yazmin Jauregui,,Orthodox,100,13.45,0.0,2.51,55.7,0.0,9.8,50.0,8.29,11,2,0,11,2,0,5,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1999/02/28,87.83,0.0,,29.27,,40.22,0.0,3.7,0.0,4.75,100.0,0.0,0.0,0.0,79.99,33.33
Izabela Badurek,,Orthodox,101,12.25,0.0,22.79,55.7,0.0,0.0,0.0,42.79,6,3,0,6,3,0,1,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1991/07/11,44.3,0.0,,0.0,,45.64,37.65,5.93,12.02,4.92,100.0,0.0,0.0,0.0,79.99,0.0
Rayanne dos Santos,,Orthodox,102,10.44,0.0,13.04,58.09,0.0,0.1,0.0,7.02,14,9,0,14,9,0,3,0,Unranked,Unranked,"[""women's strawweight""]",women's strawweight,1995/06/08,56.75,0.0,,0.0,,21.28,10.75,7.41,14.0,2.42,79.99,0.0,0.0,0.0,100.0,11.11
