name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Ryan Roberts,,Orthodox,413,14.04,45.72,0.0,0.0,32.28,0.0,0.0,0.0,21,12,1,21,12,1,1,0,Unranked,Unranked,['lightweight'],lightweight,1978/07/16,0.0,0.06,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82.77,0.0
Christophe Leninger,,Southpaw,414,13.68,45.79,0.21,0.0,29.9,0.04,0.0,0.0,3,4,0,3,4,0,2,0,Unranked,Unranked,"['lightweight', 'open weight']",lightweight,,0.0,1.01,0.0,0.0,0.0,100.0,0.0,1.13,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Eugenio Tadeu,,Orthodox,415,13.67,45.81,0.21,0.0,29.9,0.0,0.0,0.0,2,3,0,2,3,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,1.35,0.0,0.0,0.0,100.0,0.0,1.13,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Frank Caracci,,Unknown,416,13.66,45.73,0.21,0.0,29.9,0.0,0.0,0.0,2,3,0,2,3,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.11,0.0,0.0,0.0,100.0,0.0,1.13,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Valeri Ignatov,,Orthodox,417,13.64,45.85,0.0,0.0,29.9,0.04,0.0,0.0,1,2,0,1,2,0,2,0,Unranked,Unranked,"['lightweight', 'middleweight']",lightweight,,0.0,1.88,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
David Velasquez,Little,Orthodox,417,13.64,45.87,0.0,0.0,29.9,0.0,0.0,0.0,10,10,0,10,10,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,2.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Wes Albritton,,Orthodox,419,13.61,45.72,0.0,0.0,29.9,0.0,0.0,0.0,0,1,0,0,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
David Roberts,,Orthodox,419,13.61,45.73,0.0,0.0,29.9,0.0,0.0,0.0,5,8,0,5,8,0,1,0,Unranked,Unranked,['lightweight'],lightweight,1975/11/15,0.0,0.17,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
Courtney Turner,,Unknown,419,13.61,45.72,0.0,0.0,29.9,0.0,0.0,0.0,0,3,0,0,3,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,82.77,0.0
Jackie Lee,,Unknown,419,13.61,45.72,0.0,0.0,29.9,0.0,0.0,0.0,0,1,0,0,1,0,1,0,Unranked,Unranked,['lightweight'],lightweight,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,0.0
