name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Austin Lingo,Lights Out,Orthodox,120,40.87,65.89,37.02,53.71,60.61,6.13,23.26,15.86,9,3,0,9,3,0,5,0,Unranked,Unranked,['featherweight'],featherweight,1994/07/10,31.55,18.01,41.54,14.62,65.9,56.77,5.14,2.18,66.0,7.22,74.99,0.0,0.0,0.0,78.84,31.11
Mizuto Hirota,Pugnus,Orthodox,121,40.84,64.6,42.85,57.64,55.26,3.25,23.26,30.05,18,10,2,18,10,2,7,0,Unranked,Unranked,"['lightweight', 'featherweight']",featherweight,1981/05/05,26.97,37.07,46.15,0.0,59.09,72.0,16.21,14.58,49.99,19.14,58.0,6.48,1.97,0.0,100.0,23.81
Brandon Davis,Killer B,Orthodox,122,40.81,66.04,29.5,59.37,51.41,6.31,58.14,10.24,14,10,0,14,10,0,9,0,Unranked,Unranked,"['featherweight', 'bantamweight']",featherweight,1990/05/08,39.04,52.07,38.47,0.0,68.18,59.45,8.83,10.2,42.01,8.38,57.0,6.48,1.97,17.26,78.84,13.58
Luis Saldana,,Orthodox,123,40.78,75.63,17.57,57.99,71.12,6.08,23.26,22.12,16,7,1,16,7,1,4,0,Unranked,Unranked,['featherweight'],featherweight,1991/01/27,43.43,18.44,61.55,14.62,72.72,70.32,7.63,12.4,16.99,8.04,43.99,6.48,3.95,0.0,100.0,55.56
Eduardo Garagorri,,Orthodox,123,40.78,67.98,50.37,50.8,47.53,3.07,23.26,9.24,13,2,0,13,2,0,3,0,Unranked,Unranked,['featherweight'],featherweight,1989/05/28,27.52,5.15,63.08,0.0,68.18,84.77,5.73,0.72,100.0,2.53,60.99,0.0,0.0,0.0,57.7,0.0
Danny Henry,The Hatchet,Orthodox,125,40.72,74.82,22.99,65.05,46.3,6.08,58.14,17.87,12,4,0,12,4,0,4,0,Unranked,Unranked,"['featherweight', 'lightweight']",featherweight,1988/07/17,43.8,0.87,63.08,14.62,38.64,64.61,8.83,2.18,33.0,6.51,49.99,19.41,43.36,17.26,57.7,16.67
Erik Silva,The King,Orthodox,126,40.63,74.83,59.21,53.71,39.71,0.04,0.0,16.41,9,3,0,9,3,0,2,0,Unranked,Unranked,['featherweight'],featherweight,1987/03/16,15.18,1.59,92.32,0.0,27.26,93.62,44.82,2.91,80.01,2.99,62.01,0.0,0.0,0.0,78.84,0.0
Michihiro Omigawa,,Orthodox,127,40.56,61.91,36.66,63.81,59.5,3.25,23.26,33.01,17,14,1,17,14,1,7,0,Unranked,Unranked,"['featherweight', 'lightweight']",featherweight,1975/12/19,14.63,25.86,44.62,7.31,81.82,76.93,14.18,16.04,36.0,21.02,48.99,19.41,29.55,0.0,100.0,23.81
Noad Lahat,Neo,Orthodox,128,40.42,64.49,33.95,66.93,53.73,6.08,23.26,33.94,11,2,0,11,2,0,4,0,Unranked,Unranked,['featherweight'],featherweight,1984/06/08,21.76,11.7,55.39,0.0,79.55,94.73,28.25,16.76,26.0,12.34,16.0,19.41,47.29,0.0,100.0,16.67
Fernando Padilla,El Valiente,Orthodox,129,40.37,71.23,0.71,64.03,62.31,6.08,93.02,3.17,16,6,0,16,6,0,4,0,Unranked,Unranked,['featherweight'],featherweight,1996/12/15,51.76,5.37,46.15,14.62,54.54,46.91,0.0,0.72,0.0,1.16,100.0,6.48,11.83,17.26,100.0,36.11
