name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Ricky Turcios,,Orthodox,137,37.35,70.1,19.96,56.94,54.97,6.42,23.26,32.07,13,5,0,13,5,0,5,0,Unranked,Unranked,['bantamweight'],bantamweight,1993/06/05,49.78,15.74,53.22,8.33,48.98,73.72,13.48,12.78,20.0,13.57,44.0,8.17,,0.0,79.86,31.11
Caolan Loughran,The Don,Orthodox,138,37.2,71.45,40.35,0.0,69.06,6.37,23.26,65.16,10,2,0,10,2,0,4,0,Unranked,Unranked,['bantamweight'],bantamweight,1996/05/18,49.78,41.9,56.45,0.0,48.98,61.52,44.43,22.35,34.0,22.05,87.0,0.0,,0.0,100.0,55.56
Randy Costa,The Zohan,Switch,139,37.15,81.06,1.78,52.18,41.39,6.46,93.02,7.48,6,4,0,6,4,0,6,0,Unranked,Unranked,['bantamweight'],bantamweight,1994/07/06,68.75,16.82,62.91,25.0,61.22,41.9,0.0,0.65,0.0,3.8,50.0,0.0,,0.0,59.72,0.0
Nick Pace,,Orthodox,140,37.13,57.62,37.42,0.0,62.84,3.21,93.02,65.49,8,3,0,8,3,0,3,0,Unranked,Unranked,['bantamweight'],bantamweight,1987/04/17,15.57,14.42,43.55,0.0,59.18,78.49,37.33,10.22,42.99,16.62,53.99,0.0,,17.8,100.0,40.74
Sirwan Kakai,Zohan,Orthodox,141,36.72,68.06,40.58,0.0,73.4,3.17,23.26,49.81,12,5,0,12,5,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1989/10/03,37.59,16.31,54.83,8.33,69.38,66.22,59.26,12.13,41.99,8.43,83.01,0.0,,0.0,100.0,55.56
Irwin Rivera,The Beast,Southpaw,142,36.26,67.48,13.29,57.76,63.01,3.21,23.26,6.37,10,6,0,10,6,0,3,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1989/02/14,35.36,17.02,59.68,0.0,59.18,62.6,14.81,11.5,16.0,1.61,70.02,0.0,,0.0,100.0,40.74
Garrett Armfield,,Orthodox,143,36.24,81.74,30.65,0.0,51.66,6.42,58.14,27.98,10,5,0,10,5,0,5,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1996/10/09,56.32,34.16,74.19,16.67,57.15,74.37,16.28,5.12,50.0,11.84,64.01,0.0,,0.0,59.72,15.56
Ali AlQaisi,The Royal Fighter,Orthodox,144,35.99,63.49,34.01,61.43,50.46,0.05,0.0,54.64,8,5,0,8,5,0,2,0,Unranked,Unranked,['bantamweight'],bantamweight,1990/09/23,25.58,6.61,56.45,0.0,57.15,88.14,51.84,15.33,29.0,9.25,59.99,8.17,,0.0,100.0,11.11
Khalid Taha,The Warrior,Orthodox,145,35.98,62.62,1.68,59.16,52.21,3.35,93.02,6.25,13,5,0,13,5,0,6,0,Unranked,Unranked,"['bantamweight', 'featherweight']",bantamweight,1992/02/15,27.79,13.04,40.32,16.67,36.75,70.41,0.0,1.92,0.0,3.17,61.01,8.17,,0.0,100.0,27.78
Mark De La Rosa,Bumblebee,Orthodox,146,35.96,62.76,14.64,61.17,44.37,6.51,58.14,19.0,11,5,0,11,5,0,7,0,Unranked,13.0,"['flyweight', 'bantamweight']",bantamweight,1994/08/31,32.95,25.27,45.17,0.0,40.82,63.16,7.99,14.05,12.99,11.26,40.01,8.17,,17.8,79.86,14.29
