name,nickname,stance,rank,overall,striking,wrestling,grappling,defense,career_score,finishing,dominance,wins,losses,draws,ufcwins,ufclosses,ufcdraws,ufctotalfights,Titlefighs_wins,pfp_rank,div_rank,divisions,maindiv,dob,strikes_landed_permin,sigstrikes_attempted,striking_acc,kd_permin,striking_def,strabsorbpm,takedown_landed,takedown_attempted,takedown_acc,control_time,takedown_def,sub_attempted,sub_avg15,total_sub,sub_resistance,durability
Richardson Moreira,Rick Monstro,Orthodox,166,28.6,60.29,2.37,57.25,54.31,0.05,0.0,16.09,7,4,0,7,4,0,2,0,Unranked,Unranked,"['middleweight', 'heavyweight']",heavyweight,1984/03/31,9.77,0.3,32.55,0.0,95.72,84.48,0.0,6.1,0.0,2.92,100.0,0.0,,0.0,100.0,0.0
Ben Sosoli,Combat Wombat,Southpaw,167,27.65,63.71,0.0,57.25,48.47,0.05,0.0,0.0,7,3,0,7,3,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1989/12/10,19.28,7.25,36.04,0.0,67.15,63.56,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,100.0,16.67
Dmitrii Smoliakov,The Lifeguard,Switch,168,27.58,64.56,0.65,54.27,48.54,0.09,0.0,0.0,9,3,0,9,3,0,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1982/08/05,12.02,2.77,48.83,0.0,78.58,67.71,0.0,4.07,0.0,0.0,75.01,0.0,,0.0,77.87,0.0
Jeff Hughes,Lights Out,Orthodox,169,27.54,72.77,21.43,0.0,53.85,0.14,0.0,6.92,10,4,0,10,4,0,4,0,Unranked,Unranked,['heavyweight'],heavyweight,1988/05/17,32.97,18.7,59.3,0.0,85.7,68.9,7.95,1.01,50.0,2.51,45.02,0.0,,0.0,77.87,13.89
Travis Wiuff,The Diesel,Orthodox,170,27.51,59.54,41.12,0.0,42.99,0.05,0.0,7.54,75,21,0,75,21,0,2,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",heavyweight,1978/03/15,4.02,0.39,34.89,0.0,58.58,65.85,54.19,5.09,57.0,1.38,44.02,0.0,,0.0,77.87,0.0
Oli Thompson,,Orthodox,171,27.39,65.97,1.13,56.77,43.73,0.05,0.0,5.5,17,10,0,17,10,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1980/01/02,13.85,2.63,53.49,0.0,65.7,54.99,0.0,4.07,0.0,1.01,50.02,7.67,,0.0,77.87,0.0
Lukasz Brzeski,The Bull,Orthodox,172,27.38,76.29,14.19,0.0,45.38,3.32,23.26,2.44,9,6,1,9,6,1,6,0,Unranked,Unranked,['heavyweight'],heavyweight,1992/05/17,41.9,41.42,58.13,0.0,77.14,68.81,4.81,3.06,33.01,1.33,36.02,0.0,,0.0,100.0,0.0
Hu Yaozong,Totoro,Orthodox,173,27.33,69.51,3.24,52.68,40.18,0.09,0.0,23.69,3,3,0,3,3,0,3,0,Unranked,Unranked,"['middleweight', 'light heavyweight', 'heavyweight']",heavyweight,1995/04/07,27.95,1.35,55.81,0.0,49.99,56.87,0.0,1.01,0.0,6.46,33.02,0.0,,0.0,55.72,0.0
Travis Fulton,The Ironman,Orthodox,174,27.26,52.74,4.56,54.27,41.05,3.13,23.26,93.89,253,53,10,253,53,10,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1977/05/29,0.0,1.65,0.0,7.26,0.0,100.0,0.0,3.06,0.0,8.52,0.0,0.0,,0.0,77.87,16.67
Keigo Kunihara,,Orthodox,175,27.19,53.88,36.92,0.0,52.05,0.0,0.0,39.71,3,2,0,3,2,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,,1.42,0.75,11.62,0.0,81.42,83.13,55.65,5.09,40.01,3.61,100.0,0.0,,0.0,77.87,0.0
Damian Grabowski,The Polish Pitbull,Orthodox,176,26.94,67.58,0.96,57.25,39.45,0.09,0.0,0.07,20,5,0,20,5,0,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1980/05/12,33.38,0.46,41.85,0.0,72.85,35.17,0.0,6.1,0.0,0.02,0.0,0.0,,0.0,100.0,0.0
Chad Griggs,The Grave Digger,Orthodox,177,26.91,68.69,29.26,0.0,44.96,0.05,0.0,0.71,11,3,0,11,3,0,2,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",heavyweight,1978/05/15,22.28,0.46,58.13,0.0,65.7,81.17,16.9,2.05,66.01,0.14,41.02,0.0,,0.0,55.72,0.0
Jon Olav Einemo,The Viking,Orthodox,178,26.77,68.89,27.71,0.0,45.89,0.05,0.0,11.91,6,3,0,6,3,0,2,0,Unranked,Unranked,['heavyweight'],heavyweight,1975/12/10,17.95,8.46,60.47,0.0,74.3,74.15,19.36,4.07,55.01,2.16,43.02,0.0,,0.0,100.0,0.0
Assuerio Silva,,Orthodox,179,26.54,66.03,30.33,0.0,44.21,0.09,0.0,36.25,16,8,0,16,8,0,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1974/06/18,11.85,8.97,53.49,0.0,77.14,64.4,29.79,18.32,33.99,9.87,25.02,0.0,,0.0,77.87,0.0
Ednaldo Oliveira,Lula,Orthodox,180,26.4,58.55,1.86,54.27,46.6,0.05,0.0,19.76,17,3,1,17,3,1,2,0,Unranked,Unranked,"['light heavyweight', 'heavyweight']",heavyweight,1984/02/19,8.6,1.05,25.59,0.0,74.3,84.75,0.0,1.01,0.0,3.59,42.02,0.0,,0.0,77.87,0.0
Michel Batista,,Orthodox,181,26.38,50.94,46.04,0.0,39.35,0.0,0.0,14.66,4,1,0,4,1,0,1,0,Unranked,Unranked,['heavyweight'],heavyweight,1984/04/20,0.0,0.0,0.0,0.0,57.14,65.85,75.24,2.05,50.0,1.33,0.0,0.0,,0.0,77.87,0.0
Roque Martinez,,Orthodox,182,26.35,71.98,22.84,0.0,46.37,0.09,0.0,29.26,15,8,2,15,8,2,3,0,Unranked,Unranked,['heavyweight'],heavyweight,1986/03/04,27.38,17.94,61.62,0.0,80.0,58.48,4.26,2.05,50.0,7.98,53.02,0.0,,0.0,77.87,0.0
